games,splits,score,wins,loses,draws
50,0,40,13,25,12
100,3,-80,23,56,24
150,5,-100,39,80,36
200,10,-170,56,107,47
250,13,-160,76,129,58
300,13,-260,90,156,67
350,20,-435,102,190,78
400,27,-510,119,219,89
450,27,-595,133,243,101
500,28,-705,148,272,108
550,34,-795,163,299,122
600,45,-975,173,333,139
650,48,-1055,188,359,151
700,48,-1120,199,384,165
750,49,-1120,217,408,174
800,50,-1225,230,436,184
850,53,-1400,242,470,191
900,53,-1475,256,496,201
950,53,-1565,268,523,212
1000,54,-1700,281,551,222
1050,54,-1690,301,573,230
1100,55,-1845,311,603,241
1150,56,-1950,321,631,254
1200,58,-2000,338,656,264
1250,60,-2115,354,685,271
1300,68,-2285,366,717,285
1350,70,-2310,382,740,298
1400,71,-2285,403,763,305
1450,71,-2455,415,792,314
1500,74,-2570,430,820,324
1550,74,-2670,443,846,335
1600,74,-2800,456,875,343
1650,77,-2890,469,900,358
1700,79,-2920,487,927,365
1750,79,-3045,498,955,376
1800,81,-3140,512,983,386
1850,85,-3155,530,1007,398
1900,85,-3255,546,1033,406
1950,85,-3285,559,1058,418
2000,89,-3390,572,1086,431
2050,94,-3490,590,1114,440
2100,95,-3770,595,1150,450
2150,101,-3930,611,1182,458
2200,103,-4060,625,1212,466
2250,103,-4195,637,1239,477
2300,105,-4345,646,1269,490
2350,105,-4385,662,1292,501
2400,109,-4575,671,1323,515
2450,114,-4575,689,1344,531
2500,117,-4760,702,1377,538
2550,117,-4720,712,1395,560
2600,121,-4825,723,1424,574
2650,125,-4985,732,1452,591
2700,125,-5040,743,1476,606
2750,129,-5180,754,1507,618
2800,134,-5320,770,1537,627
2850,134,-5380,786,1565,633
2900,136,-5530,797,1597,642
2950,137,-5560,812,1621,654
3000,138,-5725,821,1651,666
3050,139,-5910,833,1683,673
3100,139,-5920,848,1705,686
3150,146,-6045,862,1733,701
3200,147,-6140,871,1762,714
3250,149,-6130,882,1781,736
3300,151,-6050,902,1799,750
3350,152,-6260,911,1832,759
3400,153,-6370,926,1861,766
3450,155,-6445,944,1888,773
3500,159,-6545,962,1916,781
3550,159,-6665,973,1942,794
3600,164,-6730,988,1968,808
3650,164,-6750,1006,1991,817
3700,168,-6675,1028,2010,830
3750,173,-6700,1046,2035,842
3800,173,-6820,1059,2063,851
3850,176,-6955,1072,2091,863
3900,177,-7035,1089,2119,869
3950,177,-7055,1102,2143,882
4000,179,-7185,1113,2170,896
4050,182,-7245,1126,2195,911
4100,185,-7360,1140,2222,923
4150,188,-7410,1156,2246,936
4200,191,-7580,1168,2278,945
4250,192,-7720,1182,2309,951
4300,195,-7815,1201,2339,955
4350,199,-7830,1221,2362,966
4400,201,-7925,1235,2390,976
4450,202,-8045,1248,2421,983
4500,203,-8120,1257,2445,1001
4550,211,-8255,1272,2475,1014
4600,211,-8355,1286,2502,1023
4650,213,-8480,1301,2531,1031
4700,214,-8620,1313,2560,1041
4750,215,-8705,1326,2586,1053
4800,217,-8720,1341,2610,1066
4850,218,-8840,1358,2639,1071
4900,218,-8930,1371,2664,1083
4950,221,-8970,1389,2689,1093
5000,223,-8995,1402,2712,1109
5050,225,-9065,1418,2741,1116
5100,228,-9165,1429,2768,1131
5150,233,-9150,1448,2790,1145
5200,234,-9215,1461,2817,1156
5250,234,-9370,1473,2849,1162
