games,splits,score,wins,loses,draws
50,1,20,16,27,8
100,5,-105,28,53,24
150,6,-255,39,82,35
200,7,-435,48,112,47
250,8,-565,58,141,59
300,13,-725,70,172,71
350,17,-760,85,195,87
400,18,-820,96,221,101
450,19,-935,111,252,106
500,21,-1200,116,285,120
550,24,-1290,130,311,133
600,26,-1345,146,337,143
650,29,-1385,162,360,157
700,30,-1495,172,390,168
750,31,-1570,187,417,177
800,35,-1680,201,448,186
850,38,-1815,216,478,194
900,41,-1875,228,505,208
950,42,-2005,242,535,215
1000,43,-2155,252,563,228
1050,45,-2200,267,587,241
1100,51,-2315,284,620,247
1150,57,-2490,298,653,256
1200,57,-2550,313,680,264
1250,60,-2675,326,707,277
1300,63,-2665,344,730,289
1350,64,-2740,358,756,300
1400,67,-2830,374,784,309
1450,70,-3015,384,814,322
1500,72,-3165,397,845,330
1550,72,-3290,407,872,343
1600,72,-3320,422,899,351
1650,76,-3480,432,931,363
1700,81,-3600,446,963,372
1750,85,-3715,459,992,384
1800,85,-3870,471,1021,393
1850,85,-3930,487,1046,402
1900,88,-4105,498,1076,414
1950,95,-4260,510,1105,430
2000,96,-4295,521,1127,448
2050,97,-4445,531,1158,458
2100,101,-4560,544,1187,470
2150,105,-4705,557,1216,482
2200,110,-4940,567,1251,492
2250,112,-5040,584,1278,500
2300,113,-5245,596,1312,505
2350,114,-5395,606,1343,515
2400,116,-5570,617,1373,526
2450,116,-5645,631,1399,536
2500,118,-5780,641,1427,550
2550,122,-5855,657,1452,563
2600,122,-5930,673,1480,569
2650,126,-5920,692,1501,583
2700,127,-6005,707,1529,591
2750,135,-6160,721,1560,604
2800,136,-6265,732,1586,618
2850,139,-6360,744,1612,633
2900,140,-6435,757,1637,646
2950,144,-6630,766,1667,661
3000,147,-6730,783,1694,670
3050,149,-6740,801,1716,682
3100,151,-6845,814,1744,693
3150,151,-7135,823,1782,696
3200,154,-7275,831,1810,713
3250,157,-7465,842,1840,725
3300,160,-7635,858,1873,729
3350,165,-7795,870,1907,738
3400,165,-7935,880,1934,751
3450,166,-7910,897,1956,763
3500,167,-8130,908,1989,770
3550,169,-8220,919,2015,785
3600,172,-8335,928,2043,801
3650,173,-8430,944,2070,809
3700,176,-8515,959,2098,819
3750,180,-8635,969,2126,835
3800,184,-8790,979,2156,849
3850,187,-8945,988,2185,864
3900,191,-9065,1000,2212,879
3950,192,-9220,1010,2242,890
4000,194,-9360,1026,2272,896
4050,199,-9555,1035,2305,909
4100,200,-9615,1050,2332,918
4150,204,-9605,1070,2354,930
4200,207,-9755,1082,2384,941
4250,210,-9795,1098,2407,955
4300,210,-10030,1107,2441,962
4350,214,-10145,1122,2469,973
4400,215,-10280,1131,2496,988
4450,217,-10355,1145,2522,1000
4500,218,-10445,1161,2550,1007
4550,222,-10405,1181,2572,1019
4600,223,-10705,1188,2609,1026
4650,224,-10835,1200,2637,1037
4700,230,-10935,1215,2665,1050
4750,230,-10985,1232,2690,1058
4800,233,-11140,1244,2722,1067
4850,234,-11290,1257,2753,1074
4900,234,-11415,1270,2780,1084
4950,237,-11525,1284,2808,1095
5000,239,-11600,1300,2836,1103
5050,241,-11715,1311,2863,1117
5100,244,-11805,1327,2891,1126
5150,246,-11970,1337,2922,1137
5200,248,-12175,1347,2954,1147
5250,253,-12335,1359,2985,1159
5300,253,-12535,1368,3017,1168
5350,254,-12635,1384,3043,1177
5400,259,-12765,1398,3073,1188
5450,260,-12880,1412,3103,1195
5500,261,-13010,1426,3130,1205
5550,264,-13175,1436,3158,1220
