games,splits,score,wins,loses,draws
50,0,-95,7,31,12
100,1,-110,23,53,25
150,2,-185,37,79,36
200,6,-295,52,108,46
250,8,-405,64,137,57
300,10,-515,75,165,70
350,13,-580,91,192,80
400,15,-720,102,223,90
450,16,-760,117,248,101
500,18,-825,129,271,118
550,23,-995,141,303,129
600,30,-1210,148,336,146
650,31,-1355,159,363,159
700,33,-1495,171,389,173
750,33,-1675,182,421,180
800,34,-1780,191,448,195
850,36,-1995,200,483,203
900,37,-2180,210,516,211
950,38,-2380,219,548,221
1000,39,-2470,233,574,232
1050,39,-2635,243,602,244
1100,39,-2750,254,629,256
1150,43,-2890,267,659,267
1200,47,-3005,282,687,278
1250,48,-3075,294,715,289
1300,52,-3285,305,750,297
1350,55,-3365,321,777,307
1400,57,-3395,339,804,314
1450,59,-3615,349,836,324
1500,60,-3750,358,863,339
1550,60,-3850,370,888,352
1600,60,-4125,379,926,355
1650,60,-4180,397,951,362
1700,61,-4305,412,980,369
1750,63,-4445,422,1007,384
1800,64,-4620,435,1039,390
1850,65,-4690,450,1064,401
1900,65,-4770,465,1090,410
1950,68,-4970,476,1124,418
2000,70,-5150,487,1156,427
2050,70,-5255,503,1184,433
2100,71,-5410,512,1213,446
2150,71,-5610,520,1244,457
2200,74,-5625,535,1268,471
2250,76,-5795,545,1298,483
2300,76,-5960,555,1329,492
2350,81,-6140,565,1363,503
2400,81,-6310,575,1393,513
2450,83,-6555,584,1428,521
2500,83,-6705,599,1458,526
2550,83,-6805,613,1485,535
2600,84,-6975,623,1515,546
2650,88,-7165,635,1549,554
2700,94,-7290,647,1578,569
2750,95,-7405,657,1607,581
2800,95,-7630,667,1641,587
2850,95,-7755,678,1669,598
2900,96,-7945,693,1703,600
2950,98,-8050,707,1729,612
3000,102,-8185,719,1759,624
3050,103,-8310,730,1787,636
3100,104,-8505,737,1818,649
3150,105,-8550,755,1842,658
3200,107,-8615,770,1868,669
3250,110,-8840,779,1901,680
3300,114,-8990,792,1932,690
3350,114,-9010,808,1956,700
3400,114,-9110,819,1980,715
3450,114,-9300,824,2010,730
3500,119,-9465,837,2041,741
3550,119,-9670,845,2074,750
3600,120,-9805,856,2103,761
3650,121,-10025,865,2137,769
3700,121,-10225,875,2167,779
3750,126,-10330,886,2193,797
3800,131,-10575,896,2229,806
3850,132,-10635,911,2253,818
3900,132,-10685,927,2277,828
3950,133,-10930,937,2313,833
4000,135,-11050,950,2341,844
4050,142,-11155,962,2368,862
4100,142,-11215,980,2395,867
4150,143,-11315,992,2423,878
4200,145,-11320,1006,2448,891
4250,146,-11520,1015,2480,901
4300,147,-11650,1026,2507,914
4350,149,-11715,1036,2534,929
4400,149,-11845,1045,2565,939
4450,150,-12015,1057,2597,946
4500,150,-12205,1066,2625,959
4550,154,-12290,1082,2651,971
4600,154,-12440,1095,2679,980
4650,156,-12515,1110,2706,990
4700,160,-12605,1126,2731,1003
4750,161,-12880,1132,2766,1013
4800,163,-13025,1144,2794,1025
4850,163,-13165,1157,2824,1032
4900,163,-13245,1172,2850,1041
4950,163,-13430,1183,2881,1049
5000,165,-13585,1193,2911,1061
5050,169,-13685,1208,2939,1072
5100,170,-13930,1214,2974,1082
5150,170,-13970,1231,2998,1091
5200,171,-14165,1239,3027,1105
5250,172,-14105,1258,3049,1115
5300,177,-14330,1266,3084,1127
5350,177,-14545,1277,3118,1132
