games,splits,score,wins,loses,draws
50,4,105,22,23,9
100,9,-60,35,54,20
150,10,-195,48,82,30
200,16,-330,62,114,40
250,21,-555,71,147,53
300,26,-665,87,177,62
350,36,-780,101,207,78
400,37,-800,119,230,88
450,39,-1050,129,265,95
500,42,-1230,141,298,103
550,44,-1240,156,323,115
600,44,-1375,168,350,126
650,44,-1450,186,377,131
700,48,-1615,199,408,141
750,49,-1785,210,439,150
800,55,-1900,227,469,159
850,58,-1975,245,496,167
900,64,-2045,263,524,177
950,66,-2175,275,552,189
1000,67,-2240,289,577,201
1050,67,-2500,295,612,210
1100,73,-2650,308,643,222
1150,82,-2740,324,671,237
1200,85,-2865,337,698,250
1250,87,-2955,348,721,268
1300,92,-3080,360,750,282
1350,99,-3195,375,778,296
1400,101,-3320,390,807,304
1450,104,-3315,408,829,317
1500,106,-3435,421,857,328
1550,110,-3585,435,889,336
1600,115,-3740,446,917,352
1650,120,-3825,463,944,363
1700,128,-3895,480,974,374
1750,132,-3955,496,999,387
1800,135,-4090,509,1030,396
1850,139,-4210,525,1061,403
1900,148,-4085,550,1078,420
1950,150,-4285,561,1112,427
2000,153,-4355,574,1138,441
2050,158,-4475,587,1166,455
2100,160,-4620,594,1195,471
2150,166,-4735,609,1226,481
2200,166,-4840,621,1253,492
2250,169,-4855,641,1276,502
2300,177,-4930,657,1304,516
2350,178,-4980,676,1328,524
2400,181,-5070,690,1354,537
2450,182,-5130,707,1380,545
2500,184,-5320,718,1413,553
2550,187,-5475,731,1446,560
2600,189,-5545,745,1473,571
2650,197,-5580,763,1499,585
2700,199,-5775,774,1531,594
2750,199,-5820,789,1555,605
2800,200,-5905,803,1582,615
2850,203,-6015,819,1612,622
2900,210,-6085,835,1638,637
2950,213,-6170,851,1664,648
3000,218,-6215,868,1690,660
3050,221,-6295,882,1718,671
3100,225,-6370,898,1746,681
3150,229,-6405,919,1772,688
3200,231,-6595,929,1804,698
3250,236,-6900,935,1845,706
3300,249,-7090,947,1879,723
3350,253,-7175,962,1907,734
3400,255,-7365,971,1938,746
3450,257,-7495,984,1967,756
3500,263,-7610,996,1998,769
3550,265,-7800,1004,2031,780
3600,272,-7800,1023,2056,793
3650,274,-7830,1044,2080,800
3700,277,-7925,1060,2107,810
3750,282,-8055,1076,2139,817
3800,283,-8190,1088,2169,826
3850,285,-8330,1098,2196,841
3900,289,-8370,1117,2222,850
3950,290,-8460,1130,2247,863
4000,298,-8525,1144,2275,879
4050,305,-8570,1161,2304,890
4100,308,-8900,1166,2342,900
4150,311,-8995,1180,2370,911
4200,313,-9085,1194,2396,923
4250,317,-9200,1204,2425,938
4300,320,-9445,1213,2460,947
4350,324,-9500,1231,2485,958
4400,327,-9635,1246,2515,966
4450,332,-9785,1261,2545,976
4500,335,-9815,1283,2570,982
4550,341,-9905,1297,2596,998
4600,343,-10015,1308,2624,1011
4650,348,-10165,1320,2654,1024
4700,350,-10255,1334,2680,1036
4750,354,-10265,1355,2705,1044
4800,357,-10395,1364,2736,1057
4850,359,-10455,1379,2763,1067
4900,362,-10595,1393,2794,1075
4950,362,-10640,1407,2820,1085
5000,366,-10785,1420,2852,1094
5050,367,-10910,1432,2878,1107
5100,369,-11075,1443,2910,1116
5150,372,-11150,1457,2936,1129
5200,378,-11165,1476,2961,1141
5250,385,-11215,1492,2985,1158
5300,385,-11290,1508,3013,1164
5350,389,-11360,1526,3041,1172
5400,397,-11535,1541,3075,1181
5450,399,-11560,1556,3100,1193
5500,405,-11560,1575,3122,1208
5550,411,-11795,1584,3159,1218
5600,416,-11865,1598,3186,1232
5650,417,-11930,1615,3211,1241
5700,418,-12060,1631,3240,1247
5750,419,-12340,1640,3277,1252
5800,422,-12460,1655,3307,1260
5850,427,-12645,1665,3337,1275
5900,430,-12685,1682,3361,1287
5950,433,-12815,1696,3391,1296
6000,440,-13005,1708,3422,1310
6050,446,-13140,1721,3450,1325
6100,447,-13375,1730,3484,1333
6150,447,-13410,1747,3509,1341
6200,450,-13475,1760,3536,1354
6250,452,-13640,1771,3568,1363
6300,464,-13685,1785,3591,1388
6350,470,-13690,1806,3614,1400
6400,474,-13890,1816,3644,1414
6450,486,-13910,1834,3670,1432
6500,487,-14010,1848,3697,1442
6550,494,-14095,1862,3727,1455
6600,496,-14125,1878,3752,1466
6650,497,-14185,1893,3776,1478
6700,500,-14260,1908,3803,1489
6750,504,-14380,1923,3833,1498
6800,506,-14480,1937,3860,1509
6850,509,-14560,1951,3888,1520
6900,509,-14775,1959,3922,1528
6950,515,-15070,1966,3960,1539
7000,519,-15165,1982,3987,1550
7050,524,-15260,1996,4012,1566
7100,528,-15385,2010,4043,1575
7150,531,-15375,2028,4066,1587
7200,533,-15355,2049,4088,1596
7250,534,-15490,2061,4115,1608
7300,541,-15660,2077,4148,1616
7350,545,-15865,2083,4182,1630
7400,549,-16035,2093,4215,1641
7450,554,-16110,2109,4243,1652
7500,558,-16215,2121,4270,1667
7550,562,-16390,2131,4302,1679
7600,563,-16480,2147,4330,1686
7650,573,-16555,2161,4359,1703
7700,576,-16675,2175,4388,1713
