games,splits,score,wins,loses,draws
50,2,5,15,29,8
100,7,0,32,51,24
150,11,-140,46,82,33
200,21,-350,60,117,44
250,23,-640,67,156,50
300,26,-825,79,188,59
350,27,-1045,89,220,68
400,30,-1150,103,246,81
450,36,-1330,115,279,92
500,40,-1390,132,305,103
550,40,-1510,146,334,110
600,42,-1580,160,361,121
650,49,-1630,178,387,134
700,56,-1685,194,413,149
750,56,-1785,209,441,156
800,58,-1895,223,469,166
850,58,-2075,233,500,175
900,60,-2195,247,529,184
950,65,-2220,265,554,196
1000,67,-2380,276,587,204
1050,75,-2520,293,618,214
1100,84,-2650,308,649,227
1150,87,-2855,319,682,236
1200,90,-2885,336,705,249
1250,95,-3040,350,736,259
1300,99,-3210,366,769,264
1350,102,-3430,375,803,274
1400,104,-3475,391,825,288
1450,108,-3625,404,856,298
1500,112,-3675,421,881,310
1550,117,-3740,436,907,324
1600,122,-3670,459,929,334
1650,127,-3785,474,957,346
1700,128,-4020,481,989,358
1750,131,-4150,495,1019,367
1800,135,-4155,509,1044,382
1850,139,-4210,524,1072,393
1900,141,-4255,537,1097,407
1950,145,-4430,548,1130,417
2000,145,-4560,560,1158,427
2050,146,-4790,569,1193,434
2100,147,-4935,580,1223,444
2150,153,-5020,596,1252,455
2200,159,-4995,614,1275,470
2250,163,-5075,628,1303,482
2300,169,-5235,642,1333,494
2350,174,-5330,659,1361,504
2400,180,-5370,680,1386,514
2450,182,-5480,694,1414,524
2500,183,-5565,706,1439,538
2550,187,-5530,729,1460,548
2600,187,-5705,740,1490,557
2650,191,-5905,752,1525,564
2700,193,-6115,761,1558,574
2750,196,-6120,776,1581,589
2800,199,-6250,787,1611,601
2850,201,-6435,796,1643,612
2900,206,-6595,807,1673,626
2950,206,-6710,816,1701,639
3000,209,-6735,829,1727,653
3050,212,-6765,846,1750,666
3100,216,-6715,866,1768,682
3150,218,-6745,881,1792,695
3200,228,-6875,897,1821,710
3250,230,-6940,912,1847,721
3300,232,-6925,928,1869,735
3350,236,-7025,944,1901,741
3400,245,-7180,960,1934,751
3450,248,-7290,975,1963,760
3500,251,-7375,991,1989,771
3550,255,-7485,1006,2018,781
3600,256,-7555,1015,2043,798
3650,263,-7595,1033,2068,812
3700,265,-7780,1044,2099,822
3750,272,-7950,1059,2131,832
3800,274,-8115,1071,2164,839
3850,279,-8210,1087,2191,851
3900,279,-8430,1092,2224,863
3950,284,-8545,1109,2254,871
4000,284,-8555,1129,2278,877
4050,286,-8615,1149,2304,883
4100,288,-8705,1164,2331,893
4150,294,-8780,1181,2360,903
4200,297,-8885,1196,2387,914
4250,299,-9085,1208,2419,922
4300,304,-9135,1226,2445,933
4350,306,-9215,1245,2472,939
4400,308,-9220,1261,2496,951
4450,310,-9295,1274,2521,965
4500,313,-9450,1285,2552,976
4550,320,-9570,1297,2582,991
4600,326,-9755,1311,2616,999
4650,333,-9940,1322,2647,1014
4700,336,-9990,1337,2673,1026
4750,344,-10155,1349,2703,1042
4800,345,-10240,1362,2732,1051
4850,346,-10400,1374,2763,1059
4900,348,-10400,1393,2785,1070
4950,352,-10615,1406,2821,1075
5000,357,-10820,1417,2854,1086
5050,358,-10835,1435,2878,1095
5100,362,-10865,1454,2903,1105
5150,365,-10900,1471,2928,1116
5200,366,-11070,1479,2959,1128
5250,369,-11050,1497,2981,1141
5300,374,-11155,1514,3010,1150
5350,377,-11155,1527,3032,1168
5400,380,-11360,1539,3066,1175
5450,381,-11330,1558,3088,1185
5500,382,-11520,1570,3122,1190
5550,389,-11645,1583,3152,1204
5600,391,-11865,1592,3186,1213
5650,392,-12100,1600,3219,1223
5700,397,-12265,1612,3249,1236
5750,400,-12500,1624,3286,1240
5800,405,-12635,1636,3313,1256
5850,411,-12695,1657,3340,1264
5900,418,-12850,1672,3372,1274
5950,421,-12975,1685,3402,1284
6000,422,-13095,1698,3430,1294
6050,426,-13210,1710,3458,1308
6100,428,-13355,1724,3488,1316
6150,435,-13495,1740,3518,1327
6200,438,-13620,1753,3545,1340
6250,439,-13725,1761,3571,1357
6300,442,-13785,1776,3598,1368
6350,447,-13850,1792,3625,1380
6400,453,-14090,1801,3661,1391
6450,455,-14120,1815,3684,1406
6500,461,-14175,1833,3709,1419
