games,splits,score,wins,loses,draws
50,3,-35,10,28,15
100,5,-205,23,58,24
150,5,-355,35,88,32
200,7,-545,46,118,43
250,9,-715,56,148,55
300,9,-895,66,179,64
350,13,-920,83,203,77
400,17,-1080,97,233,87
450,22,-1165,112,261,99
500,22,-1275,123,289,110
550,27,-1385,140,317,120
600,31,-1585,153,350,128
650,33,-1730,167,380,136
700,34,-1850,177,408,149
750,34,-1960,193,435,156
800,35,-2155,203,469,163
850,36,-2225,218,494,174
900,36,-2320,231,521,184
950,39,-2405,244,547,198
1000,41,-2530,258,575,208
1050,48,-2720,268,607,223
1100,49,-2795,279,636,234
1150,49,-2925,293,666,240
1200,56,-2965,312,692,252
1250,57,-3115,323,721,263
1300,60,-3155,338,746,276
1350,61,-3330,348,775,288
1400,63,-3445,360,800,303
1450,64,-3585,371,831,312
1500,65,-3695,383,857,325
1550,66,-3845,397,889,330
1600,74,-3990,411,919,344
1650,81,-4075,426,947,358
1700,82,-4165,439,972,371
1750,87,-4310,452,1004,381
1800,89,-4490,463,1033,393
1850,90,-4515,485,1059,396
1900,90,-4595,498,1086,406
1950,93,-4685,513,1113,417
2000,94,-4755,526,1139,429
2050,96,-4805,541,1165,440
2100,103,-5015,553,1198,452
2150,107,-5130,570,1228,459
2200,111,-5270,583,1258,470
2250,119,-5415,597,1291,481
2300,122,-5565,608,1323,491
2350,125,-5640,621,1351,503
2400,127,-5770,634,1380,513
2450,131,-5815,648,1406,527
2500,132,-5920,660,1433,539
2550,134,-6095,670,1465,549
2600,135,-6200,685,1495,555
2650,136,-6365,699,1527,560
2700,143,-6490,715,1557,571
2750,146,-6555,731,1581,584
2800,147,-6625,744,1607,596
2850,149,-6785,754,1636,609
2900,150,-6875,769,1663,618
2950,153,-7000,781,1692,630
3000,154,-7140,792,1723,639
3050,156,-7270,802,1749,655
3100,156,-7440,809,1779,668
3150,157,-7505,821,1805,681
3200,159,-7560,837,1831,691
3250,160,-7570,850,1851,709
3300,163,-7715,859,1879,725
3350,166,-7775,869,1904,743
3400,171,-7890,884,1932,755
3450,173,-7985,896,1958,769
3500,174,-8110,906,1982,786
3550,175,-8235,919,2009,797
3600,176,-8425,928,2043,805
3650,177,-8565,939,2071,817
3700,179,-8765,947,2102,830
3750,179,-8905,959,2131,839
3800,182,-9105,969,2164,849
3850,185,-9230,979,2194,862
3900,189,-9365,991,2224,874
3950,192,-9465,1007,2253,882
4000,193,-9630,1017,2281,895
4050,193,-9740,1030,2308,905
4100,195,-9815,1041,2334,920
4150,198,-9905,1056,2361,931
4200,203,-10045,1072,2391,940
4250,203,-10070,1089,2412,952
4300,205,-10150,1104,2438,963
4350,206,-10200,1117,2465,974
4400,209,-10305,1134,2494,981
4450,213,-10460,1148,2525,990
4500,215,-10715,1155,2559,1001
4550,216,-10660,1175,2581,1010
4600,224,-10840,1188,2612,1024
4650,229,-10950,1198,2642,1039
4700,232,-11020,1212,2669,1051
4750,238,-11150,1223,2699,1066
4800,239,-11230,1238,2725,1076
4850,244,-11365,1251,2753,1090
4900,245,-11445,1265,2781,1099
4950,246,-11565,1275,2809,1112
5000,248,-11610,1292,2832,1124
5050,252,-11805,1302,2866,1134
5100,256,-11860,1319,2890,1147
5150,258,-12120,1328,2925,1155
5200,261,-12235,1343,2953,1165
5250,265,-12285,1358,2979,1178
5300,269,-12585,1366,3017,1186
5350,271,-12580,1384,3039,1198
5400,274,-12715,1399,3069,1206
5450,277,-12830,1411,3097,1219
5500,282,-12885,1425,3124,1233
5550,288,-13035,1438,3155,1245
5600,290,-13195,1450,3186,1254
5650,292,-13395,1461,3220,1261
5700,296,-13685,1469,3260,1267
5750,301,-13850,1479,3291,1281
5800,303,-13965,1491,3319,1293
5850,304,-14205,1503,3355,1296
5900,307,-14275,1518,3383,1306
5950,307,-14260,1534,3405,1318
6000,307,-14475,1541,3438,1328
6050,310,-14555,1557,3465,1338
6100,314,-14735,1569,3498,1347
6150,314,-14960,1575,3531,1358
6200,316,-15050,1590,3558,1368
6250,320,-15160,1603,3588,1379
6300,325,-15370,1612,3621,1392
6350,330,-15580,1619,3652,1409
6400,336,-15750,1631,3684,1421
6450,338,-15975,1640,3717,1431
6500,340,-15980,1659,3741,1440
6550,346,-16200,1672,3776,1448
6600,348,-16235,1691,3800,1457
6650,352,-16405,1704,3830,1468
6700,353,-16390,1724,3853,1476
6750,355,-16580,1735,3886,1484
6800,362,-16660,1748,3913,1501
6850,363,-16805,1761,3942,1510
6900,369,-16820,1781,3968,1520
6950,371,-16845,1799,3990,1532
7000,371,-17050,1808,4021,1542
7050,373,-17185,1824,4052,1547
7100,376,-17275,1835,4081,1560
7150,383,-17445,1847,4113,1573
7200,385,-17595,1860,4144,1581
7250,386,-17825,1869,4176,1591
7300,390,-17965,1882,4206,1602
7350,390,-18035,1897,4231,1612
7400,395,-18230,1910,4265,1620
7450,398,-18295,1921,4290,1637
7500,402,-18425,1934,4319,1649
7550,406,-18590,1948,4351,1657
7600,407,-18635,1965,4377,1665
7650,412,-18825,1975,4409,1678
7700,412,-18905,1991,4436,1685
7750,419,-18955,2008,4461,1700
7800,421,-19145,2018,4493,1710
7850,422,-19295,2031,4521,1720
7900,424,-19310,2047,4543,1734
7950,431,-19455,2062,4574,1745
8000,435,-19595,2076,4602,1757
8050,438,-19725,2090,4632,1766
8100,443,-19890,2103,4663,1777
8150,444,-19970,2115,4689,1790
8200,446,-20075,2131,4717,1798
8250,459,-20220,2143,4748,1818
8300,461,-20445,2153,4782,1826
8350,466,-20635,2164,4815,1837
8400,467,-20785,2172,4844,1851
8450,469,-20770,2190,4868,1861
8500,469,-20870,2204,4895,1870
8550,469,-21015,2219,4926,1874
8600,474,-21110,2234,4952,1888
8650,477,-21280,2243,4984,1900
8700,480,-21325,2258,5008,1914
8750,484,-21420,2273,5037,1924
8800,487,-21560,2282,5063,1942
