games,splits,score,wins,loses,draws
50,2,0,16,29,7
100,5,-190,28,60,17
150,6,-280,41,88,27
200,11,-355,58,117,36
250,12,-430,77,145,40
300,14,-540,90,172,52
350,15,-630,104,198,63
400,17,-815,117,231,69
450,23,-925,135,260,78
500,24,-990,150,283,91
550,26,-995,172,307,97
600,29,-1215,185,342,102
650,30,-1405,195,374,111
700,31,-1470,211,401,119
750,32,-1605,225,430,127
800,38,-1700,241,460,137
850,40,-1760,258,486,146
900,41,-1905,272,516,153
950,42,-1920,293,540,159
1000,42,-2005,310,567,165
1050,43,-1995,327,589,177
1100,44,-2170,337,618,189
1150,44,-2230,351,641,202
1200,45,-2430,358,671,216
1250,46,-2585,368,701,227
1300,46,-2780,377,734,235
1350,46,-2950,387,764,245
1400,47,-3185,395,800,252
1450,48,-3310,406,831,261
1500,49,-3480,418,860,271
1550,49,-3495,435,883,281
1600,52,-3705,445,917,290
1650,53,-3830,458,947,298
1700,54,-3785,475,967,312
1750,56,-3900,489,997,320
1800,58,-3985,505,1026,327
1850,59,-4030,522,1052,335
1900,59,-4270,532,1086,341
1950,59,-4350,546,1111,352
2000,61,-4510,558,1142,361
2050,61,-4625,572,1169,370
2100,61,-4725,588,1198,375
2150,61,-4935,597,1231,383
2200,64,-5005,611,1258,395
2250,67,-5070,630,1285,402
2300,68,-5265,642,1318,408
2350,69,-5490,651,1351,417
2400,69,-5570,668,1376,425
2450,70,-5755,680,1408,432
2500,73,-5805,700,1436,437
2550,73,-5975,713,1466,444
2600,74,-5960,733,1489,452
2650,75,-5995,754,1515,456
2700,77,-6225,761,1548,468
2750,78,-6345,775,1577,476
2800,79,-6475,788,1606,485
2850,79,-6630,800,1638,491
2900,79,-6775,812,1669,498
2950,84,-6950,821,1700,513
3000,86,-7225,829,1737,520
3050,88,-7355,844,1768,526
3100,93,-7535,859,1804,530
3150,95,-7645,872,1831,542
3200,96,-7780,883,1860,553
3250,98,-7850,899,1886,563
3300,99,-7995,913,1916,570
3350,101,-8070,928,1943,580
3400,101,-8160,945,1969,587
3450,101,-8275,961,1998,592
3500,104,-8315,976,2023,605
3550,106,-8460,987,2053,616
3600,107,-8485,1005,2075,627
3650,107,-8665,1013,2104,640
3700,111,-8725,1029,2132,650
3750,111,-8810,1044,2157,660
3800,111,-8950,1058,2188,665
3850,111,-9025,1074,2216,671
3900,114,-9130,1089,2246,679
3950,115,-9225,1102,2273,690
4000,117,-9335,1117,2302,698
4050,118,-9465,1128,2332,708
4100,118,-9515,1144,2356,718
4150,122,-9560,1164,2382,726
4200,122,-9650,1178,2408,736
4250,124,-9600,1195,2429,750
