games,splits,score,wins,loses,draws
50,4,5,16,27,11
100,7,-30,34,53,20
150,11,-65,52,76,33
200,15,-170,64,103,48
250,17,-305,77,131,59
300,19,-410,92,158,69
350,24,-555,107,189,78
400,28,-615,121,215,92
450,36,-715,139,243,104
500,45,-730,155,268,122
550,46,-860,168,297,131
600,47,-1005,183,328,136
650,48,-1015,195,350,153
700,51,-1060,215,376,160
750,53,-1195,228,407,168
800,59,-1380,238,440,181
850,60,-1470,250,467,193
900,62,-1585,262,495,205
950,65,-1675,277,522,216
1000,65,-1790,289,547,229
1050,70,-1740,309,568,243
1100,74,-1775,324,591,259
1150,76,-1920,338,621,267
1200,80,-1945,354,644,282
1250,84,-2155,368,679,287
1300,88,-2195,382,703,303
1350,90,-2360,394,733,313
1400,94,-2340,414,754,326
1450,102,-2420,428,779,345
1500,106,-2625,439,812,355
1550,108,-2680,454,834,370
1600,113,-2795,469,862,382
1650,115,-2910,481,893,391
1700,121,-3025,495,923,403
1750,121,-3185,508,952,411
1800,126,-3255,522,979,425
1850,128,-3390,531,1006,441
1900,130,-3465,545,1029,456
1950,133,-3575,561,1059,463
2000,133,-3660,574,1085,474
2050,134,-3740,587,1109,488
2100,139,-3795,603,1135,501
2150,145,-3890,621,1164,510
2200,147,-3990,638,1191,518
2250,153,-4080,655,1220,528
2300,158,-4195,664,1248,546
2350,161,-4145,683,1268,560
2400,162,-4250,696,1296,570
2450,166,-4465,708,1331,577
2500,170,-4525,722,1357,591
2550,171,-4600,736,1383,602
2600,177,-4675,753,1409,615
2650,179,-4775,766,1435,628
2700,184,-4920,779,1467,638
2750,186,-4900,795,1490,651
2800,187,-5040,808,1517,662
2850,191,-5155,820,1548,673
2900,192,-5170,838,1569,685
2950,195,-5210,853,1591,701
3000,197,-5185,873,1610,714
3050,200,-5295,886,1640,724
3100,200,-5370,902,1665,733
3150,202,-5430,916,1691,745
3200,204,-5550,932,1719,753
3250,205,-5790,941,1755,759
3300,207,-5975,950,1787,770
3350,209,-6015,961,1814,784
3400,218,-6205,976,1848,794
3450,219,-6220,995,1870,804
3500,223,-6285,1012,1898,813
3550,224,-6305,1030,1921,823
3600,229,-6460,1043,1951,835
3650,234,-6610,1053,1982,849
3700,238,-6715,1069,2010,859
3750,246,-6810,1080,2038,878
3800,246,-6850,1094,2062,890
3850,252,-6900,1111,2087,904
3900,255,-6980,1126,2113,916
3950,260,-7000,1143,2135,932
4000,263,-7175,1151,2165,947
4050,266,-7345,1160,2197,959
4100,270,-7500,1175,2229,966
4150,275,-7705,1189,2265,971
4200,275,-7840,1203,2294,978
4250,277,-7930,1215,2321,991
4300,281,-8145,1225,2357,999
4350,283,-8305,1238,2386,1009
4400,290,-8390,1253,2414,1023
4450,291,-8455,1268,2440,1033
4500,294,-8610,1278,2470,1046
4550,309,-8860,1289,2506,1064
4600,311,-9015,1302,2536,1073
4650,312,-9185,1312,2563,1087
4700,317,-9380,1323,2595,1099
4750,320,-9480,1335,2623,1112
4800,325,-9600,1351,2654,1120
4850,330,-9585,1369,2675,1136
4900,332,-9635,1389,2700,1143
4950,337,-9830,1401,2733,1153
5000,339,-9910,1414,2760,1165
5050,342,-10000,1429,2787,1176
5100,347,-10070,1445,2816,1186
5150,354,-10055,1466,2840,1198
5200,358,-10170,1478,2868,1212
5250,360,-10290,1495,2897,1218
5300,360,-10315,1508,2920,1232
5350,362,-10320,1524,2944,1244
5400,364,-10360,1540,2973,1251
5450,369,-10480,1553,3001,1265
5500,372,-10535,1569,3027,1276
5550,374,-10615,1586,3052,1286
5600,378,-10635,1606,3074,1298
5650,379,-10755,1620,3103,1306
5700,383,-10885,1633,3135,1315
5750,387,-10950,1654,3164,1319
5800,393,-11100,1665,3193,1335
5850,394,-11270,1676,3224,1344
5900,398,-11455,1687,3255,1356
5950,402,-11615,1700,3287,1365
6000,404,-11710,1715,3316,1373
6050,405,-11810,1728,3345,1382
6100,413,-12055,1736,3379,1398
6150,417,-12125,1747,3406,1414
6200,419,-12315,1756,3440,1423
6250,421,-12380,1769,3467,1435
6300,426,-12480,1785,3496,1445
6350,427,-12520,1798,3519,1460
6400,430,-12615,1812,3547,1471
6450,434,-12745,1828,3579,1477
6500,438,-12760,1846,3603,1489
6550,443,-12855,1863,3631,1499
6600,448,-12905,1876,3655,1517
6650,452,-13055,1891,3685,1526
6700,452,-13115,1907,3710,1535
6750,461,-13175,1927,3736,1548
6800,465,-13395,1933,3767,1565
6850,467,-13535,1945,3796,1576
6900,472,-13570,1961,3820,1591
6950,475,-13670,1975,3847,1603
7000,480,-13750,1997,3877,1606
7050,483,-13690,2020,3897,1616
7100,486,-13740,2040,3922,1624
7150,489,-13810,2056,3948,1635
7200,492,-13905,2071,3977,1644
7250,492,-13980,2085,4003,1654
7300,497,-14130,2101,4034,1662
7350,502,-14255,2110,4066,1676
7400,502,-14495,2116,4099,1687
7450,504,-14670,2125,4130,1699
7500,505,-14805,2136,4159,1710
7550,507,-14830,2157,4184,1716
7600,510,-14935,2172,4214,1724
7650,511,-15045,2184,4240,1737
7700,512,-15070,2200,4266,1746
7750,514,-15170,2215,4291,1758
7800,516,-15390,2227,4325,1764
7850,517,-15445,2239,4347,1781
7900,518,-15575,2251,4375,1792
7950,524,-15700,2265,4406,1803
8000,525,-15890,2275,4435,1815
8050,526,-16060,2286,4463,1827
8100,527,-16180,2299,4491,1837
