games,splits,score,wins,loses,draws
50,1,15,13,26,12
100,3,-150,21,58,24
150,6,-305,32,89,35
200,6,-385,46,114,46
250,11,-520,56,142,63
300,15,-635,69,171,75
350,19,-655,91,195,83
400,23,-745,104,220,99
450,34,-745,125,244,115
500,35,-915,138,274,123
550,39,-965,153,300,136
600,39,-1060,168,329,142
650,40,-1160,180,357,153
700,43,-1130,197,377,169
750,44,-1325,204,405,185
800,51,-1370,219,426,206
850,51,-1490,232,454,215
900,52,-1655,245,485,222
950,53,-1760,255,513,235
1000,56,-1895,264,540,252
1050,57,-1940,281,563,263
1100,61,-2060,295,589,277
1150,65,-2175,308,618,289
1200,68,-2210,326,644,298
1250,69,-2265,342,670,307
1300,72,-2390,354,699,319
1350,76,-2515,367,729,330
1400,83,-2715,377,762,344
1450,87,-2915,384,792,361
1500,90,-3010,398,817,375
1550,92,-3095,411,846,385
1600,96,-3225,422,873,401
1650,97,-3290,435,897,415
1700,98,-3380,445,925,428
1750,102,-3475,459,953,440
1800,103,-3480,477,976,450
1850,110,-3545,490,1000,470
1900,115,-3510,507,1021,487
1950,118,-3670,519,1052,497
2000,119,-3765,527,1077,515
2050,121,-3915,539,1107,525
2100,131,-4080,552,1138,541
2150,134,-4250,563,1169,552
2200,134,-4340,577,1195,562
2250,140,-4295,599,1217,574
2300,141,-4460,610,1246,585
2350,141,-4660,620,1279,592
2400,142,-4880,629,1313,600
2450,147,-4960,643,1338,616
2500,150,-5095,657,1367,626
2550,153,-5165,675,1392,636
2600,160,-5120,697,1414,649
2650,161,-5280,709,1445,657
2700,161,-5305,725,1468,668
2750,165,-5460,740,1500,675
2800,165,-5435,754,1522,689
2850,170,-5600,763,1552,705
2900,172,-5740,776,1582,714
2950,176,-5950,786,1616,724
3000,178,-6140,797,1649,732
3050,180,-6230,808,1675,747
3100,185,-6325,824,1705,756
3150,188,-6430,836,1732,770
3200,188,-6415,855,1754,779
3250,189,-6385,875,1774,790
3300,189,-6640,881,1807,801
3350,197,-6770,896,1838,813
3400,199,-6860,912,1863,824
3450,199,-6985,926,1891,832
3500,199,-7100,939,1920,840
3550,207,-7410,945,1960,852
3600,207,-7480,960,1985,862
3650,208,-7485,981,2008,869
3700,211,-7580,990,2034,887
3750,214,-7680,1002,2062,900
3800,216,-7840,1011,2093,912
3850,219,-7980,1024,2123,922
3900,224,-8155,1034,2152,938
3950,228,-8235,1049,2178,951
4000,228,-8210,1065,2196,967
4050,231,-8310,1080,2221,980
4100,235,-8420,1095,2247,993
4150,239,-8625,1106,2280,1003
4200,240,-8790,1119,2311,1010
4250,243,-8795,1135,2335,1023
4300,246,-8945,1147,2365,1034
4350,248,-9060,1165,2396,1037
4400,251,-9155,1179,2421,1051
4450,253,-9290,1189,2449,1065
4500,256,-9470,1199,2480,1077
4550,258,-9600,1212,2509,1087
4600,263,-9720,1227,2539,1097
4650,264,-9815,1240,2566,1108
4700,265,-9860,1255,2593,1117
4750,266,-9910,1273,2619,1124
4800,267,-10055,1288,2650,1129
4850,269,-10150,1299,2678,1142
4900,269,-10240,1314,2705,1150
4950,273,-10320,1329,2731,1163
5000,277,-10595,1337,2768,1172
5050,277,-10625,1351,2791,1185
5100,278,-10745,1363,2818,1197
5150,280,-10920,1373,2847,1210
5200,282,-11160,1384,2882,1216
5250,284,-11180,1399,2905,1230
5300,285,-11275,1412,2929,1244
5350,288,-11285,1429,2950,1259
5400,295,-11255,1447,2971,1277
5450,298,-11405,1458,3003,1287
5500,299,-11510,1467,3030,1302
5550,304,-11545,1488,3059,1307
5600,307,-11645,1503,3087,1317
5650,308,-11810,1515,3117,1326
5700,316,-12000,1526,3147,1343
5750,317,-12155,1535,3176,1356
5800,320,-12315,1545,3205,1370
5850,326,-12460,1556,3235,1385
5900,328,-12570,1571,3264,1393
5950,328,-12625,1585,3288,1405
6000,334,-12665,1599,3312,1423
6050,335,-12745,1609,3336,1440
6100,336,-12880,1619,3367,1450
6150,338,-13045,1631,3397,1460
6200,341,-13115,1642,3424,1475
6250,344,-13245,1650,3448,1496
6300,349,-13270,1667,3472,1510
6350,353,-13445,1679,3503,1521
6400,355,-13615,1691,3535,1529
6450,358,-13690,1705,3561,1542
6500,359,-13865,1715,3590,1554
6550,363,-13930,1730,3616,1567
6600,368,-14220,1738,3653,1577
6650,370,-14320,1753,3681,1586
6700,376,-14420,1770,3708,1598
6750,379,-14455,1784,3733,1612
6800,385,-14525,1797,3762,1626
6850,386,-14540,1816,3784,1636
6900,398,-14700,1828,3815,1655
6950,400,-14795,1840,3844,1666
7000,405,-14860,1855,3873,1677
7050,409,-15030,1868,3906,1685
7100,417,-15105,1883,3933,1701
7150,421,-15175,1900,3960,1711
7200,425,-15325,1912,3987,1726
7250,429,-15395,1929,4014,1736
7300,433,-15480,1946,4044,1743
7350,435,-15555,1959,4069,1757
7400,435,-15605,1971,4092,1772
7450,440,-15765,1985,4125,1780
7500,443,-15745,2001,4148,1794
7550,443,-15875,2014,4177,1802
7600,446,-16010,2029,4207,1810
7650,447,-16010,2046,4227,1824
7700,449,-16130,2059,4255,1835
