games,splits,score,wins,loses,draws
50,2,60,17,24,11
100,4,45,36,46,22
150,6,-45,50,72,34
200,7,-105,64,98,45
250,9,-100,79,120,60
300,11,-110,99,144,68
350,11,-300,107,174,80
400,11,-340,122,196,93
450,14,-560,129,228,107
500,18,-650,142,256,120
550,22,-775,154,285,133
600,23,-735,174,304,145
650,25,-825,187,329,159
700,25,-1025,197,359,169
750,28,-1215,210,391,177
800,31,-1275,226,416,189
850,33,-1400,239,443,201
900,33,-1585,248,472,213
950,34,-1665,262,497,225
1000,35,-1755,275,525,235
1050,35,-1975,285,560,240
1100,35,-2060,300,588,247
1150,36,-2225,312,618,256
1200,36,-2345,327,645,264
1250,38,-2345,345,669,274
1300,40,-2500,356,700,284
1350,40,-2640,365,726,299
1400,41,-2815,374,754,313
1450,43,-2900,385,781,327
1500,45,-2915,401,806,338
1550,49,-2965,420,833,346
1600,51,-3190,432,869,350
1650,53,-3160,451,888,364
1700,55,-3275,465,918,372
1750,57,-3400,474,947,386
1800,57,-3410,493,970,394
1850,58,-3525,503,996,409
1900,59,-3630,515,1023,421
1950,59,-3710,527,1046,436
2000,63,-3795,543,1072,448
2050,64,-3840,556,1097,461
2100,66,-3905,573,1122,471
2150,67,-4055,584,1151,482
2200,68,-4290,592,1184,492
2250,69,-4340,609,1209,501
2300,70,-4405,617,1234,519
2350,75,-4520,633,1263,529
2400,79,-4610,649,1294,536
2450,80,-4685,661,1321,548
2500,80,-4815,672,1348,560
2550,80,-4930,682,1374,574
2600,84,-5005,696,1400,588
2650,84,-5120,708,1428,598
2700,84,-5240,721,1456,607
2750,84,-5365,733,1482,619
2800,84,-5450,745,1507,632
2850,85,-5600,756,1536,643
2900,85,-5690,768,1560,657
2950,86,-5855,777,1590,669
3000,88,-6020,790,1621,677
3050,89,-6035,803,1646,690
3100,92,-6165,818,1677,697
3150,94,-6145,833,1699,712
3200,95,-6185,850,1723,722
3250,98,-6275,860,1751,737
3300,100,-6435,875,1782,743
3350,100,-6590,886,1810,754
3400,100,-6725,897,1839,764
3450,102,-6850,911,1867,774
3500,102,-7060,921,1901,780
3550,103,-7275,931,1934,788
3600,106,-7395,942,1963,801
3650,106,-7555,952,1992,812
3700,108,-7675,965,2017,826
3750,108,-7770,981,2044,833
3800,108,-7870,993,2072,843
3850,109,-7910,1006,2095,858
3900,110,-8075,1015,2125,870
3950,112,-8240,1025,2153,884
4000,115,-8405,1036,2182,897
4050,115,-8490,1049,2208,908
4100,115,-8635,1059,2237,919
4150,116,-8625,1074,2257,935
4200,118,-8625,1089,2278,951
4250,122,-8730,1101,2308,963
4300,123,-8785,1113,2333,977
4350,123,-8985,1122,2365,986
4400,123,-9070,1135,2391,997
4450,125,-9165,1152,2419,1004
4500,126,-9335,1163,2450,1013
4550,128,-9545,1174,2482,1022
4600,130,-9640,1186,2508,1036
4650,130,-9760,1201,2538,1041
4700,131,-9920,1208,2567,1056
4750,133,-10020,1222,2597,1064
4800,134,-10100,1236,2625,1073
4850,135,-10230,1245,2656,1084
4900,137,-10425,1256,2688,1093
4950,140,-10470,1275,2713,1102
5000,142,-10395,1294,2732,1116
5050,143,-10570,1305,2762,1126
5100,144,-10690,1318,2790,1136
5150,145,-10760,1331,2816,1148
5200,146,-10810,1344,2840,1162
5250,146,-10895,1358,2867,1171
5300,149,-11035,1371,2897,1181
5350,151,-11130,1387,2927,1187
5400,151,-11195,1403,2954,1194
5450,152,-11290,1416,2981,1205
5500,152,-11380,1431,3008,1213
5550,153,-11545,1439,3037,1227
5600,156,-11565,1455,3064,1237
5650,156,-11710,1465,3093,1248
5700,156,-11835,1477,3122,1257
5750,156,-11925,1491,3148,1267
5800,159,-12140,1499,3182,1278
5850,159,-12355,1511,3217,1281
5900,162,-12445,1524,3245,1293
5950,164,-12470,1537,3268,1309
6000,166,-12525,1549,3293,1324
6050,167,-12545,1565,3317,1335
6100,168,-12585,1576,3341,1351
6150,172,-12705,1592,3369,1361
6200,174,-12905,1601,3401,1372
6250,174,-12950,1614,3426,1384
6300,174,-12995,1630,3451,1393
6350,174,-13100,1639,3478,1407
6400,179,-13270,1649,3508,1422
6450,180,-13390,1664,3538,1428
6500,182,-13615,1674,3572,1436
6550,185,-13760,1684,3601,1450
6600,188,-13935,1693,3632,1463
6650,188,-14080,1704,3662,1472
6700,190,-14140,1717,3687,1486
6750,191,-14180,1732,3712,1497
6800,191,-14355,1745,3744,1502
6850,192,-14440,1760,3769,1513
6900,192,-14575,1773,3797,1522
6950,192,-14640,1787,3822,1533
7000,195,-14780,1798,3850,1547
7050,196,-14960,1805,3881,1560
7100,198,-15095,1816,3913,1569
7150,199,-15385,1823,3952,1574
