games,splits,score,wins,loses,draws
50,3,-80,11,32,10
100,9,-170,25,58,26
150,13,-390,39,94,30
200,14,-580,50,127,37
250,16,-660,60,154,52
300,21,-780,77,183,61
350,29,-955,90,218,71
400,33,-1160,100,250,83
450,34,-1375,107,283,94
500,38,-1540,119,313,106
550,39,-1615,137,340,112
600,47,-1655,156,366,125
650,53,-1790,171,396,136
700,55,-1880,184,421,150
750,58,-1960,198,449,161
800,65,-1980,212,474,179
850,67,-2100,226,503,188
900,72,-2240,239,533,200
950,78,-2285,258,558,212
1000,84,-2280,277,581,226
1050,84,-2445,288,613,233
1100,88,-2515,303,638,247
1150,92,-2615,316,667,259
1200,98,-2720,334,697,267
1250,99,-2925,344,729,276
1300,103,-3125,356,764,283
1350,109,-3240,371,792,296
1400,110,-3370,380,820,310
1450,111,-3505,394,849,318
1500,115,-3590,412,877,326
1550,116,-3560,428,899,339
1600,124,-3580,441,923,360
1650,131,-3855,449,960,372
1700,133,-3975,462,988,383
1750,137,-4120,478,1020,389
1800,142,-4250,491,1049,402
1850,147,-4415,504,1083,410
1900,154,-4560,518,1116,420
1950,159,-4745,531,1149,429
2000,168,-4785,551,1176,441
2050,170,-4840,569,1204,447
2100,172,-4890,584,1230,458
2150,174,-4935,601,1256,467
2200,182,-5040,620,1287,475
2250,187,-5070,641,1311,485
2300,190,-5245,652,1341,497
2350,194,-5265,670,1364,510
2400,204,-5215,695,1387,522
2450,206,-5305,712,1416,528
2500,212,-5350,732,1442,538
2550,215,-5530,741,1475,549
2600,222,-5700,754,1508,560
2650,223,-5835,767,1536,570
2700,227,-5900,782,1562,583
2750,231,-6135,793,1598,590
2800,237,-6305,804,1632,601
2850,245,-6540,816,1669,610
2900,247,-6710,828,1701,618
2950,251,-6815,842,1730,629
3000,255,-6940,855,1760,640
3050,261,-6890,880,1783,648
3100,263,-7000,894,1811,658
3150,264,-7105,909,1838,667
3200,267,-7245,921,1870,676
3250,271,-7365,935,1902,684
3300,275,-7530,943,1934,698
3350,275,-7650,957,1963,705
3400,280,-7825,968,1996,716
3450,282,-7920,983,2025,724
3500,288,-8050,994,2055,739
3550,296,-8130,1005,2086,755
3600,300,-8155,1018,2112,770
3650,303,-8275,1036,2142,775
3700,306,-8325,1056,2170,780
3750,313,-8400,1070,2196,797
3800,315,-8685,1079,2235,801
3850,318,-8750,1094,2261,813
3900,321,-8770,1114,2286,821
3950,329,-8830,1133,2314,832
4000,330,-8835,1152,2338,840
4050,338,-9090,1165,2378,845
4100,342,-9195,1177,2408,857
4150,345,-9400,1187,2443,865
4200,346,-9425,1204,2467,875
4250,347,-9580,1216,2499,882
4300,350,-9570,1234,2522,894
4350,354,-9720,1247,2553,904
4400,358,-9790,1263,2579,916
4450,369,-9880,1282,2610,927
4500,371,-9825,1302,2629,940
4550,372,-9915,1320,2656,946
4600,375,-10000,1335,2684,956
4650,378,-10070,1351,2710,967
4700,384,-10150,1367,2737,980
4750,387,-10340,1377,2772,988
4800,393,-10615,1385,2809,999
4850,402,-10640,1410,2838,1004
4900,408,-10825,1423,2871,1014
4950,414,-10785,1444,2891,1029
5000,415,-10960,1455,2924,1036
5050,418,-11085,1469,2952,1047
5100,425,-11145,1487,2979,1059
5150,427,-11055,1507,2999,1071
5200,429,-11080,1523,3025,1081
5250,431,-11270,1534,3058,1089
5300,435,-11295,1553,3081,1101
5350,437,-11405,1566,3111,1110
5400,444,-11635,1574,3145,1125
5450,447,-11720,1592,3173,1132
5500,450,-11730,1608,3199,1143
5550,463,-11770,1629,3227,1157
5600,466,-11965,1640,3259,1167
5650,467,-12020,1655,3284,1178
5700,468,-12225,1666,3317,1185
5750,472,-12360,1678,3347,1197
5800,476,-12470,1692,3375,1209
5850,478,-12485,1711,3400,1217
5900,480,-12625,1722,3431,1227
5950,481,-12705,1737,3457,1237
6000,482,-12810,1751,3486,1245
6050,489,-12915,1769,3516,1254
6100,492,-12875,1788,3537,1267
6150,495,-12850,1807,3558,1280
6200,498,-13020,1823,3591,1284
6250,502,-13185,1837,3623,1292
6300,506,-13275,1853,3651,1302
6350,508,-13255,1872,3674,1312
6400,516,-13335,1888,3701,1327
6450,519,-13385,1906,3727,1336
