games,splits,score,wins,loses,draws
50,4,75,19,26,9
100,7,55,37,49,21
150,7,-120,47,81,29
200,8,-170,62,107,39
250,9,-250,78,134,47
300,12,-300,96,160,56
350,13,-475,109,192,62
400,17,-505,128,220,69
450,18,-655,138,248,82
500,18,-765,152,276,90
550,19,-1015,160,312,97
600,19,-1205,171,342,106
650,21,-1355,183,372,116
700,24,-1395,197,396,131
750,25,-1520,207,426,142
800,25,-1565,223,451,151
850,26,-1600,237,476,163
900,28,-1685,248,500,180
950,28,-1855,259,531,188
1000,29,-1960,272,559,198
1050,32,-2010,287,585,210
1100,33,-2215,299,619,215
1150,33,-2320,311,649,223
1200,37,-2335,328,678,231
1250,39,-2455,340,705,244
1300,39,-2620,351,737,251
1350,39,-2845,361,771,257
1400,40,-2960,375,801,264
1450,45,-3190,387,839,269
1500,45,-3175,407,862,276
1550,45,-3220,425,886,284
1600,46,-3355,437,916,293
1650,48,-3550,446,949,303
1700,50,-3690,461,981,308
1750,56,-3890,473,1013,320
1800,60,-3950,488,1040,332
1850,60,-4100,498,1071,341
1900,61,-4215,511,1100,350
1950,61,-4365,523,1130,358
2000,62,-4565,534,1164,364
2050,65,-4680,550,1193,372
2100,67,-4740,566,1218,383
2150,70,-4945,578,1252,390
2200,70,-5080,589,1281,400
2250,75,-5130,606,1306,413
2300,76,-5190,621,1333,422
2350,76,-5185,637,1356,433
2400,76,-5400,643,1391,442
2450,78,-5480,657,1416,455
2500,79,-5585,669,1443,467
2550,79,-5705,677,1469,483
2600,81,-5825,691,1498,492
2650,82,-5935,706,1527,499
2700,87,-6200,714,1566,507
2750,87,-6300,728,1593,516
2800,89,-6280,745,1614,530
2850,90,-6310,761,1639,540
2900,92,-6460,772,1671,549
2950,93,-6530,788,1694,561
3000,94,-6670,800,1723,571
3050,95,-6745,817,1749,579
3100,98,-6820,835,1776,587
3150,102,-6960,850,1808,594
3200,103,-7150,860,1840,603
3250,106,-7210,876,1868,612
3300,107,-7325,891,1899,617
3350,107,-7530,903,1933,621
3400,109,-7665,915,1960,634
3450,110,-7820,927,1989,644
3500,111,-7875,941,2016,654
3550,113,-7960,953,2044,666
3600,117,-8055,969,2071,677
3650,120,-8130,982,2096,692
3700,121,-8215,996,2123,702
3750,123,-8285,1009,2149,715
3800,126,-8440,1018,2178,730
3850,130,-8625,1030,2210,740
3900,133,-8790,1041,2242,750
3950,136,-8845,1055,2266,765
4000,139,-8855,1074,2289,776
4050,143,-9035,1084,2320,789
4100,144,-9160,1094,2347,803
4150,144,-9180,1109,2370,815
4200,144,-9300,1122,2398,824
4250,145,-9370,1136,2422,837
4300,145,-9540,1148,2451,846
4350,145,-9630,1163,2478,854
4400,148,-9660,1180,2501,867
4450,150,-9740,1199,2528,873
4500,150,-9925,1210,2559,881
4550,151,-10180,1220,2596,885
4600,153,-10260,1233,2623,897
4650,155,-10450,1245,2654,906
4700,156,-10540,1265,2683,908
4750,157,-10700,1279,2713,915
4800,158,-10795,1293,2741,924
4850,160,-10895,1302,2772,936
4900,160,-11120,1313,2807,940
4950,161,-11185,1326,2834,951
5000,162,-11250,1342,2861,959
5050,165,-11530,1352,2899,964
5100,166,-11725,1362,2930,974
5150,166,-11930,1371,2961,984
5200,167,-12010,1385,2986,996
5250,167,-12050,1400,3011,1006
5300,167,-12215,1411,3043,1013
5350,168,-12355,1422,3071,1025
5400,175,-12435,1436,3099,1040
5450,175,-12495,1452,3124,1049
5500,181,-12740,1463,3161,1057
5550,182,-12795,1481,3189,1062
5600,184,-12995,1490,3221,1073
5650,186,-13115,1501,3250,1085
5700,187,-13280,1512,3279,1096
5750,188,-13450,1521,3311,1106
5800,190,-13615,1533,3341,1116
5850,190,-13690,1546,3366,1128
5900,191,-13870,1558,3399,1134
5950,191,-14030,1564,3427,1150
6000,192,-14200,1574,3460,1158
6050,194,-14235,1586,3483,1175
6100,194,-14405,1597,3514,1183
6150,196,-14535,1612,3545,1189
6200,198,-14655,1624,3575,1199
6250,199,-14725,1639,3603,1207
6300,199,-14890,1652,3634,1213
6350,200,-14945,1668,3660,1222
6400,200,-15115,1677,3689,1234
6450,201,-15290,1686,3720,1245
6500,203,-15435,1699,3749,1255
6550,203,-15630,1709,3780,1264
6600,205,-15685,1722,3806,1277
6650,207,-15925,1729,3840,1288
6700,214,-16070,1741,3871,1302
6750,215,-16135,1756,3897,1312
6800,215,-16205,1773,3921,1321
6850,217,-16255,1791,3947,1329
6900,219,-16430,1803,3978,1338
6950,225,-16615,1815,4010,1350
7000,227,-16725,1831,4037,1359
7050,231,-16790,1846,4063,1372
7100,232,-16925,1858,4093,1381
7150,233,-17070,1869,4120,1394
7200,236,-17215,1883,4150,1403
7250,236,-17350,1895,4180,1411
7300,238,-17425,1910,4207,1421
