games,splits,score,wins,loses,draws
50,2,20,17,25,10
100,4,-230,25,58,21
150,5,-430,34,90,31
200,6,-585,46,122,38
250,7,-765,56,153,48
300,7,-930,65,183,59
350,9,-995,86,212,61
400,9,-1115,98,239,72
450,13,-1205,114,267,82
500,13,-1370,124,298,91
550,13,-1625,131,332,100
600,13,-1805,144,363,106
650,16,-1910,157,391,118
700,18,-2000,168,417,133
750,18,-2230,176,448,144
800,18,-2385,186,478,154
850,18,-2450,201,501,166
900,20,-2545,218,529,173
950,22,-2695,232,558,182
1000,23,-2820,244,587,192
1050,23,-3005,252,618,203
1100,26,-3055,266,643,217
1150,26,-3325,273,677,226
1200,26,-3615,279,715,232
1250,29,-3755,292,745,242
1300,31,-4005,299,777,255
1350,32,-4110,314,804,264
1400,33,-4230,330,832,271
1450,33,-4320,342,856,285
1500,36,-4360,358,882,296
1550,36,-4540,366,911,309
1600,36,-4645,381,938,317
1650,38,-4750,397,966,325
1700,38,-4875,404,993,341
1750,41,-4950,420,1021,350
1800,41,-5065,432,1049,360
1850,43,-5095,445,1071,377
1900,43,-5205,457,1100,386
1950,45,-5405,465,1131,399
2000,45,-5560,475,1161,409
2050,45,-5690,484,1189,422
2100,46,-5925,493,1223,430
2150,46,-6095,501,1251,444
2200,46,-6175,517,1278,451
2250,46,-6275,529,1306,461
2300,47,-6300,546,1330,471
2350,47,-6465,556,1358,483
2400,48,-6455,571,1381,496
2450,48,-6580,584,1408,506
2500,49,-6765,594,1441,514
2550,51,-6755,612,1461,528
2600,51,-6780,627,1486,538
2650,51,-6865,644,1513,544
2700,52,-6980,657,1542,553
2750,56,-7100,669,1569,568
2800,56,-7140,683,1590,583
2850,57,-7185,701,1614,592
2900,57,-7360,711,1643,603
2950,60,-7570,717,1673,620
3000,61,-7510,737,1693,631
3050,61,-7600,752,1720,639
3100,61,-7755,762,1750,649
3150,63,-7850,775,1777,661
3200,64,-7875,793,1802,669
3250,64,-7995,806,1830,678
3300,64,-8095,818,1855,691
3350,64,-8145,835,1880,699
3400,64,-8165,851,1904,709
3450,66,-8290,861,1934,721
3500,67,-8345,873,1959,735
3550,68,-8515,886,1989,743
3600,70,-8625,900,2017,753
3650,74,-8695,912,2045,767
3700,75,-8765,928,2071,776
3750,78,-8845,945,2099,784
3800,78,-8940,956,2127,795
3850,79,-9065,972,2157,800
3900,79,-9130,984,2183,812
3950,83,-9310,997,2214,822
4000,85,-9285,1015,2234,836
4050,86,-9375,1027,2261,848
4100,87,-9620,1037,2297,853
4150,87,-9695,1051,2323,863
4200,89,-9880,1062,2354,873
4250,89,-9825,1076,2373,890
4300,90,-9965,1087,2401,902
4350,90,-10110,1097,2430,913
4400,90,-10340,1104,2463,923
4450,90,-10485,1117,2492,931
4500,91,-10685,1125,2526,940
4550,91,-10775,1140,2553,948
4600,91,-10885,1152,2582,957
4650,92,-10920,1166,2607,969
4700,92,-10980,1181,2634,977
4750,92,-11115,1192,2663,987
4800,93,-11280,1204,2693,996
4850,98,-11520,1213,2729,1006
4900,99,-11695,1223,2758,1018
4950,99,-11770,1236,2783,1030
5000,99,-11885,1248,2811,1040
5050,100,-11995,1260,2840,1050
5100,100,-12120,1274,2868,1058
5150,101,-12330,1280,2901,1070
5200,102,-12495,1289,2928,1085
5250,104,-12585,1305,2956,1093
5300,106,-12770,1317,2988,1101
5350,106,-12880,1330,3015,1111
5400,106,-12910,1346,3040,1120
5450,107,-13055,1359,3069,1129
5500,107,-13110,1373,3093,1141
5550,107,-13305,1381,3125,1151
5600,107,-13485,1390,3155,1162
5650,107,-13505,1405,3178,1174
5700,108,-13465,1423,3198,1187
5750,111,-13525,1440,3224,1197
5800,111,-13630,1453,3252,1206
5850,111,-13840,1459,3285,1217
5900,112,-13920,1474,3311,1227
5950,113,-14040,1485,3340,1238
6000,114,-14120,1502,3368,1244
6050,115,-14175,1513,3392,1260
6100,116,-14340,1522,3422,1272
6150,116,-14450,1535,3449,1282
6200,116,-14495,1552,3472,1292
6250,116,-14745,1559,3507,1300
6300,117,-14870,1571,3536,1310
6350,118,-14985,1583,3561,1324
6400,118,-15065,1598,3587,1333
6450,118,-15200,1611,3615,1342
6500,119,-15295,1625,3643,1351
6550,119,-15395,1637,3671,1361
6600,120,-15525,1646,3699,1375
6650,121,-15595,1661,3724,1386
6700,122,-15770,1669,3754,1399
6750,122,-15870,1683,3781,1408
6800,122,-16135,1690,3816,1416
6850,122,-16225,1704,3842,1426
6900,123,-16375,1716,3872,1435
6950,125,-16475,1729,3901,1445
7000,127,-16665,1741,3932,1454
