games,splits,score,wins,loses,draws
50,5,-30,12,28,15
100,6,-265,20,64,22
150,10,-355,37,90,33
200,12,-400,49,111,52
250,19,-590,58,145,66
300,21,-795,67,179,75
350,26,-915,84,211,81
400,29,-960,100,236,93
450,34,-1080,114,265,105
500,36,-1135,125,289,122
550,47,-1265,141,321,135
600,48,-1370,154,349,145
650,53,-1525,166,378,159
700,54,-1660,178,408,168
750,56,-1900,186,443,177
800,59,-1960,200,469,190
850,59,-1975,212,493,204
900,62,-2090,224,521,217
950,65,-2070,241,542,232
1000,66,-2135,255,567,244
1050,67,-2225,271,592,254
1100,68,-2365,283,621,264
1150,71,-2520,297,652,272
1200,73,-2680,309,683,281
1250,75,-2780,324,711,290
1300,79,-2795,339,732,308
1350,83,-2955,352,764,317
1400,84,-3155,364,796,324
1450,87,-3225,375,823,339
1500,90,-3355,389,853,348
1550,96,-3405,407,879,360
1600,97,-3460,422,904,371
1650,97,-3555,436,932,379
1700,98,-3675,450,958,390
1750,100,-3640,467,979,404
1800,103,-3700,485,1003,415
1850,104,-3840,498,1033,423
1900,105,-3890,511,1054,440
1950,106,-4050,525,1084,447
2000,113,-4120,540,1112,461
2050,114,-4365,549,1147,468
2100,119,-4375,567,1169,483
2150,121,-4500,577,1196,498
2200,125,-4680,592,1229,504
2250,127,-4780,605,1255,517
2300,132,-4775,623,1277,532
2350,135,-5005,630,1313,542
2400,138,-5090,645,1338,555
2450,140,-5145,660,1363,567
2500,140,-5125,681,1385,574
2550,142,-5290,691,1416,585
2600,148,-5360,706,1441,601
2650,151,-5485,719,1468,614
2700,153,-5550,736,1493,624
2750,163,-5670,752,1524,637
2800,163,-5775,764,1551,648
2850,166,-5825,782,1577,657
2900,166,-5890,795,1604,667
2950,167,-5855,810,1626,681
3000,170,-5830,829,1647,694
3050,174,-6060,840,1681,703
3100,175,-6155,855,1707,713
3150,178,-6290,871,1738,719
3200,185,-6395,886,1765,734
3250,186,-6430,902,1789,745
