games,splits,score,wins,loses,draws
50,1,70,15,24,12
100,3,-50,29,53,21
150,5,-200,43,85,27
200,7,-330,51,115,41
250,8,-435,61,140,57
300,8,-575,71,170,67
350,9,-690,85,197,77
400,9,-825,93,223,93
450,10,-995,102,252,106
500,11,-1070,110,278,123
550,12,-1245,117,307,138
600,12,-1390,130,336,146
650,13,-1425,141,358,164
700,14,-1515,152,384,178
750,15,-1765,156,419,190
800,17,-1810,171,443,203
850,17,-1975,182,472,213
900,20,-2095,196,498,226
950,23,-2140,211,522,240
1000,24,-2340,221,555,248
1050,25,-2530,230,583,262
1100,26,-2655,242,612,272
1150,28,-2845,253,645,280
1200,32,-2935,266,673,293
1250,33,-3115,278,703,302
1300,34,-3225,290,732,312
1350,35,-3275,305,755,325
1400,35,-3335,320,782,333
1450,38,-3380,338,806,344
1500,39,-3480,352,833,354
1550,41,-3600,364,863,364
1600,41,-3580,380,883,378
1650,45,-3615,398,909,388
1700,46,-3750,407,939,400
1750,46,-3910,418,969,409
1800,46,-3925,435,989,422
1850,47,-4125,447,1021,429
1900,47,-4125,462,1042,443
1950,47,-4225,475,1068,454
2000,49,-4350,487,1097,465
2050,50,-4495,498,1124,478
2100,50,-4685,506,1154,490
2150,51,-4860,516,1183,502
2200,54,-4990,527,1210,517
2250,54,-5165,539,1241,524
2300,54,-5290,548,1270,536
2350,56,-5380,561,1295,550
2400,56,-5495,575,1322,559
2450,56,-5595,587,1350,569
2500,59,-5645,603,1377,579
2550,59,-5820,614,1407,588
2600,61,-6020,624,1440,597
2650,61,-6020,638,1460,613
2700,62,-6125,650,1487,625
2750,63,-6350,659,1520,634
2800,64,-6370,672,1541,651
2850,64,-6405,688,1562,664
2900,64,-6475,701,1585,678
2950,66,-6655,715,1617,684
3000,67,-6890,724,1651,692
3050,69,-7005,738,1678,703
3100,72,-7045,755,1705,712
3150,73,-7055,773,1727,723
3200,73,-7155,780,1750,743
3250,74,-7325,793,1783,748
3300,75,-7220,812,1799,764
3350,77,-7295,826,1825,776
3400,77,-7455,836,1851,790
3450,78,-7475,854,1874,800
3500,79,-7455,871,1895,813
3550,79,-7550,887,1922,820
3600,79,-7670,897,1947,835
3650,80,-7820,905,1976,849
3700,80,-7960,915,2006,859
3750,82,-8195,921,2040,871
3800,83,-8235,937,2063,883
3850,84,-8325,950,2091,893
3900,84,-8475,958,2120,906
3950,84,-8540,971,2144,919
4000,85,-8705,982,2176,927
4050,87,-8865,989,2208,940
4100,87,-8965,1002,2234,951
4150,87,-9055,1015,2259,963
4200,87,-9210,1024,2288,975
4250,89,-9315,1040,2316,983
4300,90,-9560,1047,2349,994
4350,91,-9625,1058,2371,1012
4400,95,-9675,1073,2397,1025
4450,96,-9735,1085,2421,1040
4500,99,-9900,1098,2455,1046
4550,99,-10005,1109,2484,1056
4600,99,-10095,1122,2509,1068
4650,103,-10165,1139,2536,1078
4700,105,-10230,1151,2559,1095
4750,108,-10225,1165,2580,1113
4800,110,-10325,1176,2604,1130
4850,111,-10515,1182,2632,1147
4900,115,-10675,1194,2663,1158
4950,115,-10755,1206,2689,1170
5000,122,-11020,1213,2724,1185
5050,124,-11220,1224,2755,1195
5100,124,-11350,1235,2782,1207
5150,125,-11335,1254,2804,1217
5200,126,-11515,1266,2837,1223
5250,127,-11685,1277,2868,1232
5300,127,-11700,1293,2890,1244
5350,128,-11820,1308,2920,1250
5400,129,-12035,1317,2955,1257
5450,131,-12160,1333,2985,1263
5500,132,-12240,1345,3011,1276
5550,133,-12350,1358,3038,1287
5600,136,-12545,1369,3070,1297
5650,138,-12580,1385,3094,1309
5700,140,-12820,1392,3128,1320
5750,140,-12920,1402,3154,1334
5800,140,-13105,1414,3186,1340
5850,140,-13200,1427,3213,1350
5900,144,-13315,1442,3241,1361
5950,145,-13440,1454,3270,1371
6000,147,-13650,1463,3303,1381
6050,147,-13755,1478,3330,1389
6100,147,-13820,1492,3355,1400
6150,147,-13860,1512,3379,1406
6200,147,-13905,1530,3403,1414
6250,149,-13960,1547,3427,1425
6300,150,-14070,1559,3456,1435
6350,150,-14105,1579,3481,1440
6400,151,-14220,1588,3509,1454
6450,151,-14260,1599,3530,1472
6500,151,-14305,1612,3555,1484
6550,151,-14445,1623,3583,1495
6600,151,-14570,1640,3614,1497
6650,152,-14670,1652,3642,1508
6700,152,-14805,1664,3669,1519
6750,153,-14895,1679,3696,1528
6800,153,-15010,1692,3725,1536
6850,153,-15015,1708,3749,1546
6900,154,-15115,1720,3774,1560
6950,154,-15135,1738,3797,1569
7000,155,-15280,1750,3828,1577
7050,156,-15480,1761,3859,1586
7100,158,-15625,1776,3890,1592
7150,160,-15740,1784,3917,1609
7200,160,-15810,1798,3941,1621
7250,163,-15970,1812,3974,1627
7300,164,-16075,1827,4001,1636
7350,165,-16225,1839,4031,1645
7400,166,-16430,1849,4063,1654
7450,167,-16525,1862,4090,1665
7500,168,-16570,1876,4113,1679
7550,168,-16705,1885,4143,1690
7600,168,-16840,1896,4169,1703
7650,168,-16975,1906,4197,1715
7700,168,-17190,1914,4231,1723
7750,168,-17290,1926,4259,1733
7800,169,-17440,1940,4288,1741
7850,171,-17420,1960,4309,1752
7900,172,-17520,1973,4338,1761
7950,174,-17715,1984,4370,1770
8000,177,-17805,1995,4396,1786
8050,177,-17905,2009,4423,1795
8100,180,-17940,2020,4442,1818
8150,181,-18085,2031,4469,1831
8200,182,-18295,2040,4502,1840
8250,184,-18375,2055,4528,1851
8300,184,-18595,2065,4560,1859
8350,186,-18765,2073,4591,1872
8400,186,-18770,2088,4611,1887
8450,186,-18940,2096,4639,1901
8500,186,-18910,2108,4660,1918
8550,186,-18845,2124,4677,1935
8600,188,-18780,2142,4696,1950
8650,190,-18905,2156,4724,1960
8700,192,-19135,2167,4758,1967
8750,193,-19170,2184,4783,1976
8800,195,-19315,2194,4812,1989
8850,195,-19425,2205,4837,2003
8900,195,-19575,2219,4866,2010
8950,198,-19680,2231,4893,2024
9000,198,-19830,2244,4921,2033
9050,199,-19980,2254,4949,2046
