games,splits,score,wins,loses,draws
94950,2617,-202290,25027,52166,20374
95000,2619,-202355,25041,52194,20384
95050,2619,-202460,25055,52220,20394
95100,2619,-202550,25069,52246,20404
95150,2621,-202605,25086,52273,20412
95200,2622,-202575,25103,52290,20429
95250,2624,-202650,25117,52316,20441
95300,2624,-202745,25130,52343,20451
95350,2624,-202940,25139,52376,20459
95400,2628,-202950,25152,52399,20477
95450,2631,-203035,25167,52427,20487
95500,2633,-203205,25182,52459,20492
95550,2633,-203370,25196,52491,20496
95600,2633,-203380,25212,52514,20507
95650,2639,-203475,25229,52542,20518
95700,2642,-203755,25238,52579,20525
95750,2642,-203930,25250,52610,20532
95800,2644,-203885,25268,52631,20545
95850,2646,-204035,25277,52661,20558
95900,2646,-204290,25284,52695,20567
95950,2649,-204405,25297,52724,20578
96000,2651,-204445,25312,52749,20590
96050,2651,-204570,25327,52778,20596
96100,2654,-204650,25340,52802,20612
96150,2654,-204635,25357,52822,20625
96200,2654,-204820,25367,52852,20635
96250,2654,-204960,25379,52881,20644
96300,2657,-205150,25392,52913,20652
96350,2659,-205225,25402,52938,20669
96400,2659,-205355,25417,52966,20676
96450,2659,-205445,25431,52992,20686
96500,2660,-205505,25446,53019,20695
96550,2664,-205645,25461,53048,20705
96600,2667,-205760,25474,53077,20716
96650,2667,-205890,25489,53105,20723
96700,2667,-205925,25503,53127,20737
96750,2668,-205950,25519,53150,20749
96800,2668,-205995,25535,53175,20758
96850,2668,-206135,25545,53205,20768
96900,2669,-206295,25559,53235,20775
96950,2670,-206495,25568,53267,20785
97000,2671,-206590,25581,53294,20796
97050,2673,-206650,25599,53318,20806
97100,2673,-206635,25619,53341,20813
97150,2674,-206760,25634,53370,20820
97200,2674,-206950,25647,53402,20825
97250,2675,-206960,25663,53425,20837
97300,2678,-207005,25681,53449,20848
97350,2682,-207135,25692,53479,20861
97400,2682,-207360,25699,53513,20870
97450,2684,-207495,25713,53542,20879
97500,2684,-207650,25722,53571,20891
97550,2684,-207825,25733,53601,20900
97600,2688,-207830,25750,53623,20915
97650,2689,-207985,25760,53653,20926
97700,2692,-208180,25772,53686,20934
97750,2694,-208300,25785,53717,20942
97800,2695,-208475,25794,53748,20953
97850,2700,-208475,25813,53773,20964
97900,2702,-208525,25826,53797,20979
97950,2702,-208520,25841,53816,20995
98000,2703,-208750,25848,53849,21006
98050,2707,-208830,25862,53874,21021
98100,2709,-209020,25870,53904,21035
98150,2709,-209105,25884,53931,21044
98200,2710,-209270,25891,53959,21060
98250,2710,-209355,25899,53986,21075
