games,splits,score,wins,loses,draws
50,0,-60,14,30,6
100,0,-205,27,59,14
150,2,-385,41,91,20
200,2,-445,55,114,33
250,2,-560,69,141,42
300,2,-645,81,169,52
350,5,-755,96,198,61
400,7,-915,107,228,72
450,9,-1105,118,258,83
500,9,-1310,126,291,92
550,9,-1425,140,321,98
600,9,-1455,155,342,112
650,11,-1495,174,368,119
700,13,-1585,186,395,132
750,13,-1715,201,423,139
800,14,-1845,215,453,146
850,15,-1930,230,478,157
900,15,-2135,238,511,166
950,15,-2125,255,533,177
1000,15,-2280,267,562,186
1050,16,-2425,278,592,196
1100,16,-2640,288,625,203
1150,17,-2715,303,652,212
1200,17,-2815,318,680,219
1250,17,-2975,329,710,228
1300,17,-3080,344,740,233
1350,17,-3165,359,765,243
1400,19,-3250,373,792,254
1450,19,-3325,389,820,260
1500,19,-3440,402,849,268
1550,20,-3430,417,872,281
1600,20,-3425,438,894,288
1650,21,-3415,454,915,302
1700,21,-3520,465,941,315
1750,22,-3550,482,964,326
1800,24,-3640,496,990,338
1850,26,-3785,508,1021,347
1900,26,-3875,520,1048,358
1950,26,-4000,534,1076,366
2000,30,-4080,551,1104,375
2050,30,-4100,568,1129,383
2100,31,-4220,581,1154,396
2150,31,-4340,592,1183,406
2200,32,-4445,602,1211,419
2250,32,-4560,616,1238,428
2300,32,-4760,624,1269,439
2350,34,-4970,633,1302,449
2400,35,-5020,649,1326,460
2450,37,-5115,666,1354,467
2500,38,-5240,676,1384,478
2550,38,-5360,688,1411,489
2600,38,-5515,699,1439,500
2650,40,-5565,714,1465,511
2700,40,-5620,729,1490,521
2750,42,-5715,743,1515,534
2800,42,-5800,753,1541,548
2850,42,-5940,764,1569,559
2900,43,-6035,774,1596,573
2950,43,-6250,781,1629,583
3000,44,-6370,797,1657,590
3050,44,-6565,809,1690,595
3100,44,-6740,821,1721,602
3150,44,-6760,836,1744,614
3200,44,-6780,855,1768,621
3250,45,-6760,869,1789,637
3300,45,-6920,879,1818,648
3350,46,-6925,895,1842,659
3400,46,-7050,910,1871,665
3450,46,-7190,921,1899,676
3500,47,-7315,934,1929,684
3550,47,-7360,948,1952,697
3600,48,-7400,965,1976,707
3650,48,-7485,977,1998,723
3700,48,-7575,995,2025,728
3750,49,-7730,1004,2054,741
3800,49,-7770,1019,2079,751
3850,49,-7885,1031,2107,761
3900,52,-8095,1042,2139,771
3950,53,-8245,1054,2169,780
4000,53,-8325,1069,2195,789
4050,54,-8535,1077,2227,800
4100,55,-8640,1091,2253,811
4150,55,-8740,1106,2281,818
4200,55,-8825,1123,2308,824
4250,55,-8930,1133,2333,839
4300,55,-9005,1146,2358,851
4350,56,-9150,1160,2388,858
4400,57,-9300,1174,2417,866
4450,57,-9470,1185,2448,874
4500,58,-9470,1203,2469,886
4550,62,-9670,1215,2501,896
4600,62,-9870,1225,2531,906
4650,64,-10075,1236,2564,914
4700,64,-10140,1250,2589,925
4750,64,-10285,1262,2620,932
4800,65,-10365,1278,2647,940
4850,65,-10530,1289,2679,947
4900,65,-10570,1304,2701,960
4950,66,-10630,1320,2726,970
5000,67,-10740,1335,2755,977
5050,68,-10865,1342,2782,994
5100,71,-11050,1354,2814,1003
5150,71,-11215,1367,2845,1009
5200,74,-11305,1386,2873,1015
5250,74,-11415,1402,2900,1022
5300,76,-11500,1420,2928,1028
5350,78,-11735,1429,2962,1037
5400,80,-11880,1440,2992,1048
5450,80,-12035,1454,3023,1053
5500,80,-12265,1462,3057,1061
5550,81,-12350,1475,3086,1070
5600,82,-12360,1494,3109,1079
5650,83,-12510,1508,3141,1084
5700,86,-12550,1526,3166,1094
5750,92,-12675,1538,3195,1109
5800,93,-12850,1551,3227,1115
5850,93,-12960,1566,3253,1124
5900,93,-13190,1576,3286,1131
5950,96,-13295,1584,3312,1150
6000,98,-13455,1594,3344,1160
6050,98,-13740,1602,3382,1164
6100,99,-13875,1615,3410,1174
6150,100,-14045,1622,3440,1188
6200,101,-14205,1633,3470,1198
6250,104,-14285,1647,3498,1209
6300,108,-14405,1659,3525,1224
6350,108,-14560,1669,3555,1234
6400,109,-14800,1678,3591,1240
6450,109,-14800,1694,3613,1252
6500,111,-14925,1706,3642,1263
6550,111,-14945,1725,3663,1273
6600,111,-15075,1736,3690,1285
6650,112,-15165,1751,3717,1294
6700,112,-15110,1770,3735,1307
6750,114,-15120,1789,3758,1317
6800,114,-15130,1806,3782,1326
6850,114,-15245,1816,3808,1340
6900,115,-15305,1830,3834,1351
6950,116,-15405,1843,3860,1363
7000,117,-15470,1858,3883,1376
7050,118,-15500,1876,3907,1385
7100,118,-15625,1887,3935,1396
7150,118,-15700,1903,3960,1405
7200,118,-15670,1923,3980,1415
7250,118,-15825,1936,4010,1422
7300,118,-15960,1949,4041,1428
7350,118,-16105,1965,4073,1430
7400,119,-16205,1980,4098,1441
7450,121,-16350,1994,4128,1449
7500,121,-16485,2006,4158,1457
7550,121,-16690,2014,4191,1466
7600,121,-16800,2025,4219,1477
7650,121,-16895,2042,4247,1482
7700,123,-16940,2059,4270,1494
7750,125,-17105,2073,4302,1500
7800,126,-17325,2081,4335,1510
7850,131,-17440,2095,4362,1524
7900,131,-17545,2110,4389,1532
7950,131,-17660,2123,4415,1543
8000,134,-17665,2140,4440,1554
8050,134,-17725,2152,4467,1565
8100,136,-17905,2162,4498,1576
8150,137,-18075,2173,4529,1585
8200,137,-18135,2186,4554,1597
8250,139,-18225,2202,4582,1605
8300,139,-18305,2214,4608,1617
8350,141,-18335,2225,4631,1635
8400,142,-18435,2237,4656,1649
8450,143,-18570,2252,4686,1655
8500,143,-18625,2264,4711,1668
8550,145,-18670,2281,4737,1677
8600,150,-18730,2297,4765,1688
8650,150,-18850,2310,4793,1697
8700,153,-18750,2331,4810,1712
8750,153,-18820,2347,4836,1720
8800,154,-18835,2364,4859,1731
8850,154,-18900,2379,4885,1740
8900,154,-19055,2389,4915,1750
8950,154,-19180,2402,4942,1760
9000,154,-19240,2414,4969,1771
9050,154,-19485,2424,5005,1775
9100,156,-19625,2436,5037,1783
9150,156,-19665,2452,5060,1794
9200,157,-19770,2464,5087,1806
9250,157,-19815,2480,5112,1815
9300,158,-19925,2492,5141,1825
9350,161,-20080,2504,5173,1834
9400,162,-20320,2514,5207,1841
9450,164,-20515,2525,5239,1850
9500,166,-20570,2542,5266,1858
9550,167,-20660,2558,5297,1862
9600,167,-20780,2572,5326,1869
9650,168,-20900,2585,5354,1879
9700,168,-20890,2607,5378,1883
9750,170,-21000,2619,5407,1894
9800,170,-21085,2634,5432,1904
9850,172,-21060,2653,5453,1916
9900,173,-21145,2670,5480,1923
9950,174,-21310,2684,5512,1928
10000,175,-21445,2697,5543,1935
10050,176,-21670,2705,5578,1943
10100,176,-21685,2722,5601,1953
10150,176,-21855,2732,5631,1963
