games,splits,score,wins,loses,draws
50,2,-25,10,30,12
100,4,-225,18,61,25
150,7,-345,30,91,36
200,9,-350,45,114,50
250,9,-540,56,147,56
300,11,-730,68,178,65
350,12,-805,81,206,75
400,14,-945,94,236,84
450,16,-1050,109,266,91
500,20,-1215,121,296,103
550,20,-1250,138,318,114
600,20,-1420,149,349,122
650,22,-1500,162,376,134
700,22,-1605,176,405,141
750,25,-1690,190,432,153
800,25,-1855,201,461,163
850,25,-2055,212,492,171
900,26,-2180,223,520,183
950,26,-2340,231,547,198
1000,27,-2465,247,577,203
1050,28,-2630,258,606,214
1100,29,-2840,269,638,222
1150,29,-2965,280,666,233
1200,30,-2995,296,688,246
1250,30,-3085,310,711,259
1300,33,-3135,322,734,277
1350,35,-3285,335,768,282
1400,37,-3420,347,798,292
1450,40,-3600,358,830,302
1500,43,-3660,371,858,314
1550,44,-3780,381,886,327
1600,44,-3850,390,911,343
1650,45,-4035,400,941,354
1700,45,-4100,415,970,360
1750,45,-4240,424,999,372
1800,46,-4390,436,1029,381
1850,47,-4575,449,1062,386
1900,48,-4645,468,1088,392
1950,48,-4775,478,1114,406
2000,49,-5025,485,1146,418
2050,50,-5100,498,1171,431
2100,50,-5280,510,1204,436
2150,50,-5440,521,1234,445
2200,52,-5465,540,1257,455
2250,55,-5520,555,1282,468
2300,55,-5705,565,1315,475
2350,55,-5875,574,1344,487
2400,57,-6150,582,1381,494
2450,60,-6380,590,1415,505
2500,60,-6550,604,1446,510
2550,61,-6715,614,1474,523
2600,63,-6770,629,1499,535
2650,63,-6890,636,1527,550
2700,64,-7000,648,1556,560
2750,65,-7000,664,1581,570
2800,68,-7175,675,1614,579
2850,69,-7300,685,1644,590
2900,70,-7445,695,1673,602
2950,72,-7470,711,1696,615
3000,73,-7505,731,1721,621
3050,74,-7635,744,1747,633
3100,76,-7860,752,1779,645
3150,76,-8040,760,1808,658
3200,79,-8120,774,1836,669
3250,81,-8135,787,1864,680
3300,81,-8285,794,1895,692
3350,82,-8350,812,1921,699
3400,83,-8525,824,1952,707
3450,83,-8475,839,1971,723
3500,84,-8700,846,2005,733
3550,85,-8865,858,2035,742
3600,85,-8970,870,2062,753
3650,90,-9050,883,2089,768
3700,94,-9285,891,2125,778
3750,95,-9295,905,2149,791
3800,96,-9370,916,2175,805
3850,98,-9460,929,2203,816
3900,99,-9555,944,2229,826
3950,102,-9645,959,2256,837
4000,104,-9745,976,2283,845
4050,105,-9750,992,2307,856
4100,106,-10015,1000,2343,863
4150,108,-10315,1005,2381,872
4200,109,-10520,1016,2414,879
4250,112,-10745,1025,2447,890
4300,113,-10815,1042,2471,900
4350,114,-11070,1052,2508,904
4400,115,-11260,1062,2540,913
4450,116,-11400,1075,2573,918
4500,118,-11550,1088,2601,929
4550,120,-11660,1099,2629,942
4600,124,-11855,1110,2661,953
4650,126,-11945,1121,2690,965
4700,129,-12110,1136,2723,970
4750,130,-12295,1144,2754,982
4800,131,-12535,1153,2790,988
4850,131,-12555,1171,2813,997
4900,131,-12700,1183,2841,1007
4950,131,-12680,1201,2863,1017
5000,132,-12835,1213,2892,1027
5050,132,-12865,1226,2914,1042
5100,135,-12910,1243,2940,1052
5150,136,-13000,1257,2969,1060
5200,136,-13070,1272,2994,1070
5250,136,-13110,1285,3020,1081
5300,142,-13135,1303,3045,1094
5350,142,-13360,1312,3078,1102
5400,142,-13375,1329,3101,1112
5450,144,-13535,1340,3131,1123
5500,145,-13695,1351,3161,1133
5550,145,-13945,1356,3197,1142
5600,148,-14030,1370,3224,1154
5650,149,-14170,1378,3252,1169
5700,150,-14265,1393,3281,1176
5750,151,-14555,1401,3318,1182
5800,151,-14720,1409,3347,1195
5850,156,-14730,1424,3372,1210
5900,156,-14895,1432,3401,1223
5950,156,-15055,1444,3432,1230
6000,157,-15245,1456,3463,1238
6050,162,-15310,1470,3488,1254
6100,165,-15530,1479,3522,1264
6150,166,-15685,1491,3551,1274
6200,167,-15855,1505,3582,1280
6250,169,-15960,1523,3612,1284
6300,169,-15990,1540,3635,1294
6350,173,-16150,1551,3665,1307
6400,173,-16245,1559,3693,1321
6450,174,-16235,1572,3714,1338
6500,176,-16365,1585,3743,1348
6550,178,-16420,1600,3768,1360
6600,178,-16560,1613,3798,1367
6650,178,-16615,1623,3818,1387
6700,179,-16690,1637,3844,1398
6750,179,-16815,1648,3872,1409
6800,180,-16980,1660,3902,1418
6850,182,-17080,1677,3929,1426
6900,184,-17265,1685,3963,1436
6950,185,-17375,1696,3991,1448
7000,187,-17495,1706,4019,1462
7050,187,-17670,1718,4050,1469
7100,187,-17765,1730,4076,1481
7150,187,-17800,1744,4101,1492
7200,188,-17850,1761,4126,1501
7250,190,-18020,1772,4160,1508
7300,190,-18240,1783,4193,1514
7350,190,-18395,1796,4223,1521
7400,190,-18480,1805,4248,1537
7450,190,-18530,1816,4270,1554
7500,190,-18650,1828,4297,1565
7550,192,-18695,1845,4323,1574
7600,192,-18730,1860,4346,1586
7650,192,-18850,1873,4374,1595
7700,194,-18980,1883,4403,1608
7750,194,-19015,1897,4425,1622
7800,194,-19225,1904,4456,1634
7850,196,-19340,1915,4480,1651
7900,196,-19270,1929,4496,1671
7950,196,-19430,1941,4524,1681
8000,198,-19515,1958,4551,1689
8050,199,-19640,1972,4579,1698
8100,200,-19740,1985,4605,1710
8150,203,-19885,1995,4637,1721
8200,204,-20120,2004,4671,1729
8250,208,-20265,2020,4703,1735
8300,212,-20435,2031,4734,1747
8350,212,-20480,2046,4758,1758
8400,212,-20680,2055,4790,1767
8450,213,-20845,2065,4821,1777
8500,214,-20920,2083,4848,1783
8550,215,-21095,2095,4879,1791
