games,splits,score,wins,loses,draws
50,4,-30,10,29,15
100,5,-195,23,60,22
150,5,-310,35,88,32
200,10,-405,49,116,45
250,10,-415,64,138,58
300,10,-520,75,164,71
350,11,-755,83,197,81
400,14,-780,98,222,94
450,14,-805,110,247,107
500,17,-1005,121,281,115
550,21,-1040,135,306,130
600,24,-1110,148,332,144
650,26,-1215,160,362,154
700,28,-1250,174,384,170
750,36,-1385,190,415,181
800,38,-1365,206,435,197
850,41,-1380,221,459,211
900,43,-1565,230,491,222
950,44,-1610,245,515,234
1000,50,-1810,254,550,246
1050,53,-1855,266,571,266
1100,58,-1935,283,596,279
1150,61,-2030,297,624,290
1200,64,-2335,301,660,303
1250,69,-2485,313,690,316
1300,73,-2600,329,719,325
1350,80,-2620,348,743,339
1400,81,-2785,360,773,348
1450,82,-2965,374,805,353
1500,82,-3060,386,831,365
1550,87,-3205,399,860,378
1600,92,-3335,411,891,390
1650,92,-3465,423,919,400
1700,92,-3585,436,947,409
1750,100,-3780,448,980,422
1800,104,-3910,459,1007,438
1850,104,-3915,473,1029,452
1900,110,-4000,489,1055,466
1950,116,-4065,508,1082,476
2000,117,-4050,523,1103,491
2050,119,-4070,538,1126,505
2100,123,-4250,551,1157,515
2150,130,-4370,564,1185,531
2200,132,-4460,576,1212,544
2250,133,-4565,589,1237,557
2300,135,-4680,599,1263,573
2350,139,-4735,612,1286,591
2400,141,-4920,623,1317,601
2450,141,-5045,635,1346,610
2500,143,-5135,652,1375,616
2550,146,-5210,668,1400,628
2600,150,-5325,684,1429,637
2650,152,-5450,693,1455,654
2700,154,-5625,703,1487,664
2750,156,-5760,712,1517,677
2800,160,-5820,727,1538,695
2850,164,-5925,742,1568,704
2900,171,-6055,757,1599,715
2950,174,-6165,771,1627,726
3000,174,-6165,791,1650,733
3050,176,-6280,804,1679,743
3100,181,-6425,818,1709,754
3150,186,-6535,834,1736,766
3200,188,-6685,848,1768,772
3250,189,-6840,859,1799,781
3300,193,-7055,870,1833,790
3350,198,-7270,879,1865,804
3400,203,-7300,897,1892,814
3450,203,-7435,907,1917,829
3500,208,-7565,920,1946,842
3550,211,-7640,934,1972,855
3600,216,-7750,950,2002,864
3650,218,-7840,964,2031,873
3700,220,-7930,977,2059,884
3750,223,-8095,988,2091,894
3800,225,-8200,1002,2117,906
3850,228,-8340,1012,2147,919
3900,231,-8420,1025,2171,935
3950,233,-8345,1044,2190,949
4000,236,-8450,1055,2213,968
4050,237,-8540,1069,2242,976
4100,245,-8560,1087,2268,990
4150,251,-8605,1101,2294,1006
4200,255,-8805,1111,2327,1017
4250,259,-8820,1130,2349,1030
4300,264,-8995,1143,2381,1040
4350,266,-9065,1159,2407,1050
4400,271,-9220,1171,2436,1064
4450,277,-9330,1186,2465,1076
4500,278,-9425,1194,2487,1097
4550,280,-9495,1206,2515,1109
4600,282,-9655,1215,2543,1124
4650,285,-9670,1231,2565,1139
4700,286,-9785,1244,2594,1148
4750,291,-9950,1255,2626,1160
4800,296,-10040,1268,2654,1174
4850,299,-10140,1286,2682,1181
4900,301,-10250,1300,2710,1191
4950,304,-10385,1310,2735,1209
5000,304,-10515,1322,2763,1219
5050,307,-10675,1331,2794,1232
5100,308,-10770,1344,2821,1243
5150,311,-10755,1363,2843,1255
5200,315,-10780,1377,2867,1271
5250,319,-11020,1384,2901,1284
5300,321,-11125,1398,2927,1296
5350,322,-11280,1408,2954,1310
5400,326,-11525,1415,2987,1324
5450,330,-11610,1430,3015,1335
5500,334,-11790,1442,3045,1347
5550,336,-11840,1459,3070,1357
5600,343,-11780,1481,3092,1370
5650,343,-11860,1497,3119,1377
5700,347,-12065,1508,3152,1387
5750,349,-12205,1522,3180,1397
5800,352,-12395,1533,3213,1406
5850,361,-12400,1549,3240,1422
5900,365,-12510,1561,3269,1435
5950,366,-12485,1581,3291,1444
6000,369,-12570,1599,3319,1451
6050,375,-12700,1611,3344,1470
6100,380,-12735,1625,3369,1486
6150,382,-12800,1642,3394,1496
6200,389,-12865,1658,3424,1507
6250,389,-12940,1673,3448,1518
6300,391,-13045,1685,3475,1531
6350,392,-13140,1701,3502,1539
6400,396,-13150,1717,3522,1557
6450,399,-13230,1732,3548,1569
6500,402,-13340,1743,3576,1583
6550,408,-13430,1756,3604,1598
6600,411,-13605,1767,3634,1610
6650,412,-13770,1779,3664,1619
6700,418,-13870,1793,3694,1631
6750,421,-14035,1806,3725,1640
6800,423,-14150,1821,3753,1649
6850,426,-14160,1836,3775,1665
6900,431,-14275,1850,3802,1679
6950,436,-14465,1862,3836,1688
7000,442,-14575,1875,3866,1701
7050,449,-14640,1891,3890,1718
7100,454,-14635,1910,3913,1731
7150,454,-14685,1928,3936,1740
7200,459,-14700,1949,3960,1750
7250,465,-14740,1964,3982,1769
7300,465,-14820,1980,4006,1779
7350,471,-14975,1990,4036,1795
7400,474,-15075,2000,4062,1812
7450,477,-15180,2014,4088,1825
7500,477,-15290,2026,4114,1837
7550,480,-15395,2036,4142,1852
7600,484,-15505,2048,4168,1868
7650,487,-15565,2064,4193,1880
7700,492,-15665,2083,4222,1887
7750,499,-15785,2095,4252,1902
7800,502,-15895,2109,4280,1913
7850,508,-15960,2124,4306,1928
7900,513,-15995,2142,4332,1939
7950,520,-16100,2155,4357,1958
8000,520,-16250,2161,4384,1975
8050,524,-16305,2173,4412,1989
8100,525,-16455,2183,4440,2002
8150,527,-16490,2198,4466,2013
8200,530,-16495,2214,4487,2029
8250,534,-16560,2227,4514,2043
8300,535,-16635,2242,4541,2052
8350,540,-16655,2262,4569,2059
8400,541,-16800,2273,4596,2072
8450,544,-16890,2284,4622,2088
8500,545,-16995,2298,4648,2099
8550,547,-17080,2313,4673,2111
8600,553,-17310,2320,4709,2124
8650,555,-17450,2334,4740,2131
8700,556,-17630,2345,4769,2142
8750,560,-17635,2361,4793,2156
8800,562,-17710,2377,4818,2167
8850,564,-17755,2393,4843,2178
8900,570,-17970,2402,4875,2193
8950,575,-18065,2415,4902,2208
9000,579,-18155,2431,4930,2218
9050,588,-18150,2454,4954,2230
9100,592,-18235,2469,4982,2241
9150,595,-18285,2482,5006,2257
9200,596,-18410,2493,5031,2272
9250,597,-18515,2506,5059,2282
9300,602,-18705,2516,5091,2295
9350,602,-18660,2536,5111,2305
9400,605,-18730,2552,5137,2316
9450,607,-18855,2564,5166,2327
9500,612,-18905,2577,5190,2345
9550,623,-19055,2590,5221,2362
9600,630,-19140,2607,5248,2375
9650,633,-19325,2618,5279,2386
9700,635,-19555,2626,5313,2396
9750,639,-19540,2645,5338,2406
9800,644,-19610,2661,5361,2422
9850,649,-19605,2682,5383,2434
9900,651,-19645,2701,5406,2444
9950,656,-19785,2715,5437,2454
10000,656,-19850,2730,5460,2466
10050,660,-19975,2744,5488,2478
10100,666,-20010,2761,5513,2492
10150,667,-20120,2776,5542,2499
10200,673,-20240,2788,5569,2516
10250,674,-20385,2801,5601,2522
10300,680,-20420,2819,5627,2534
10350,681,-20620,2828,5659,2544
10400,683,-20745,2840,5688,2555
10450,689,-20850,2853,5716,2570
10500,695,-21065,2862,5748,2585
10550,696,-21205,2873,5776,2597
10600,698,-21330,2886,5806,2606
10650,698,-21470,2898,5835,2615
10700,699,-21600,2911,5864,2624
10750,704,-21665,2929,5890,2635
10800,705,-21705,2942,5916,2647
10850,710,-21805,2956,5943,2661
10900,714,-22000,2967,5975,2672
10950,717,-22175,2978,6005,2684
11000,719,-22250,2991,6030,2698
11050,720,-22260,3007,6053,2710
11100,725,-22265,3027,6078,2720
11150,726,-22405,3038,6106,2732
11200,731,-22470,3054,6130,2747
11250,731,-22525,3073,6156,2752
11300,735,-22660,3087,6185,2763
11350,737,-22735,3097,6210,2780
11400,740,-23010,3105,6247,2788
11450,742,-23200,3114,6275,2803
11500,742,-23360,3122,6305,2815
11550,747,-23425,3137,6331,2829
11600,754,-23420,3152,6350,2852
11650,759,-23520,3168,6379,2862
11700,761,-23650,3180,6404,2877
11750,767,-23915,3189,6441,2887
11800,773,-24015,3205,6467,2901
11850,779,-24075,3218,6492,2919
11900,781,-24290,3225,6525,2931
11950,782,-24370,3238,6549,2945
12000,784,-24455,3249,6576,2959
12050,786,-24630,3262,6608,2966
12100,790,-24685,3277,6633,2980
12150,795,-24890,3288,6666,2991
12200,797,-25040,3299,6695,3003
12250,798,-25140,3313,6722,3013
12300,799,-25270,3323,6751,3025
12350,801,-25345,3336,6776,3039
12400,807,-25470,3350,6804,3053
12450,807,-25575,3365,6831,3061
12500,809,-25695,3379,6860,3070
12550,812,-25875,3387,6889,3086
12600,812,-26120,3395,6923,3094
12650,814,-26295,3405,6952,3107
12700,814,-26360,3419,6977,3118
12750,819,-26455,3432,7004,3133
12800,822,-26545,3446,7030,3146
12850,826,-26585,3463,7054,3159
12900,832,-26610,3480,7078,3174
12950,840,-26690,3496,7108,3186
13000,843,-26790,3508,7133,3202
13050,850,-26880,3529,7163,3208
13100,853,-26925,3545,7185,3223
13150,855,-27040,3554,7213,3238
13200,859,-27160,3567,7241,3251
13250,863,-27210,3581,7266,3266
13300,867,-27325,3591,7295,3281
13350,874,-27405,3608,7320,3296
13400,874,-27485,3619,7345,3310
13450,880,-27335,3645,7359,3326
13500,883,-27435,3659,7386,3338
13550,885,-27675,3667,7421,3347
13600,888,-27665,3687,7443,3358
13650,891,-27665,3706,7468,3367
13700,896,-27740,3722,7496,3378
13750,898,-27935,3731,7526,3391
13800,899,-28065,3744,7555,3400
13850,900,-28115,3758,7580,3412
13900,900,-28275,3769,7610,3421
13950,905,-28425,3783,7642,3430
14000,907,-28570,3793,7671,3443
14050,911,-28720,3806,7699,3456
14100,915,-28800,3822,7726,3467
14150,917,-28935,3835,7757,3475
14200,920,-29000,3848,7781,3491
14250,923,-29020,3865,7806,3502
14300,926,-29300,3872,7841,3513
14350,930,-29355,3888,7867,3525
14400,931,-29540,3899,7898,3534
14450,933,-29720,3910,7933,3540
14500,936,-29825,3924,7962,3550
14550,939,-29815,3939,7985,3565
14600,945,-30030,3953,8022,3570
14650,955,-30145,3965,8053,3587
14700,955,-30245,3978,8079,3598
14750,958,-30380,3994,8110,3604
14800,961,-30585,4004,8145,3612
14850,965,-30740,4014,8175,3626
14900,968,-30855,4031,8205,3632
14950,973,-30935,4048,8233,3642
15000,977,-31065,4060,8261,3656
15050,986,-31085,4079,8285,3672
15100,990,-31295,4088,8318,3684
15150,992,-31420,4100,8344,3698
15200,1003,-31520,4120,8374,3709
15250,1007,-31570,4137,8399,3721
15300,1013,-31700,4151,8429,3733
15350,1016,-31890,4162,8462,3742
15400,1022,-32005,4175,8491,3756
15450,1023,-31960,4194,8513,3766
15500,1025,-32015,4211,8537,3777
