games,splits,score,wins,loses,draws
10,0,65,2,7,1
20,1,125,8,10,3
30,1,125,12,14,5
40,1,115,15,18,8
50,2,80,17,25,10
60,2,110,21,29,12
70,2,40,22,37,13
80,2,-10,24,44,14
90,2,-45,26,51,15
100,2,-55,30,56,16
