games,splits,score,wins,loses,draws
10,1,90,5,6,0
20,1,40,5,14,2
30,1,-30,5,21,5
40,1,-70,8,28,5
50,1,-95,10,34,7
60,2,-75,16,38,8
70,2,-80,19,43,10
80,2,-110,22,49,11
90,2,-110,26,53,13
100,2,-160,28,60,14
