games,splits,score,wins,loses,draws
10,1,75,3,7,1
20,1,25,5,14,2
30,1,45,7,17,7
40,1,30,9,22,10
50,1,0,12,28,11
60,1,-25,13,33,15
70,1,-10,16,36,19
80,1,-70,18,44,19
90,2,5,23,46,23
100,4,-35,25,52,27
