games,splits,score,wins,loses,draws
10,1,50,3,8,0
20,1,15,4,14,3
30,1,-25,5,19,7
40,1,-45,8,24,9
50,1,-70,10,30,11
60,1,-130,11,37,13
70,1,-200,12,45,14
80,1,-260,13,52,16
90,1,-290,16,58,17
100,1,-340,18,65,18
