games,splits,score,wins,loses,draws
10,0,65,2,7,1
20,0,35,5,13,2
30,0,-10,6,20,4
40,1,-80,8,29,4
50,2,-100,11,34,7
60,2,-140,13,40,9
70,2,-160,17,46,9
80,2,-160,19,51,12
90,2,-240,20,60,12
100,2,-300,22,68,12
